Sample1,316188_4_consensus.txt,326650_11_consensus.txt,326650_13_consensus.txt,326650_14_consensus.txt,326650_17_consensus.txt,326650_1_consensus.txt,326650_2_consensus.txt,326650_4_consensus.txt,326650_5_consensus.txt,326650_6_consensus.txt,326650_7_consensus.txt,326650_9_consensus.txt,326651_10_consensus.txt,326651_11_consensus.txt,326651_12_consensus.txt,326651_13_consensus.txt,326651_14_consensus.txt,326651_15_consensus.txt,326651_16_consensus.txt,326651_17_consensus.txt,326651_18_consensus.txt,326651_1_consensus.txt,326651_2_consensus.txt,326651_3_consensus.txt,326651_4_consensus.txt,326651_5_consensus.txt,326651_6_consensus.txt,326651_7_consensus.txt,326651_8_consensus.txt,326651_9_consensus.txt,326713_10_consensus.txt,326713_11_consensus.txt,326713_12_consensus.txt,326713_13_consensus.txt,326713_14_consensus.txt,326713_15_consensus.txt,326713_16_consensus.txt,326713_17_consensus.txt,326713_18_consensus.txt,326713_1_consensus.txt,326713_2_consensus.txt,326713_3_consensus.txt,326713_4_consensus.txt,326713_5_consensus.txt,326713_6_consensus.txt,326713_7_consensus.txt,326713_8_consensus.txt,326713_9_consensus.txt,326737_1_consensus.txt,326737_2_consensus.txt,326737_3_consensus.txt,326737_4_consensus.txt,326737_7_consensus.txt,326737_8_consensus.txt,326737_9_consensus.txt,326780_11_consensus.txt,326780_13_consensus.txt,326780_14_consensus.txt,326780_15_consensus.txt,326780_16_consensus.txt,326780_17_consensus.txt,326780_1_consensus.txt,326780_2_consensus.txt,326780_4_consensus.txt,326780_5_consensus.txt,326780_6_consensus.txt,326780_7_consensus.txt,326780_8_consensus.txt,326797_10_consensus.txt,326797_11_consensus.txt,326797_12_consensus.txt,326797_14_consensus.txt,326797_15_consensus.txt,326797_1_consensus.txt,326797_2_consensus.txt,326797_3_consensus.txt,326797_4_consensus.txt,326797_5_consensus.txt,326797_6_consensus.txt,326797_9_consensus.txt,326907_11_consensus.txt,326907_13_consensus.txt,326907_4_consensus.txt,326907_5_consensus.txt,326907_7_consensus.txt,327059_11_consensus.txt,327059_13_consensus.txt,327059_14_consensus.txt,327059_1_consensus.txt,327059_2_consensus.txt,327059_3_consensus.txt,327059_5_consensus.txt,327059_6_consensus.txt,327059_7_consensus.txt,327059_8_consensus.txt,327059_9_consensus.txt,D103_13_consensus.txt,D103_1_consensus.txt
316188_4_consensus.txt,0.0,5.307768857384303,6.455520241575982,5.330115413344856,5.644222417700291,7.105877293027447,5.005437515813696,5.179070384424563,5.858122861713298,5.3978491695921775,7.057810092718853,5.871973408736665,6.110812132246338,6.22747098189501,6.515156335421011,8.003816600424102,7.722610110281607,6.684175903734115,6.624658625903862,7.117855943721224,7.384318908574755,8.126461396461593,7.786951132310207,7.733701747164275,7.288843158325051,6.935901055893169,7.230768071182695,8.060627075407467,7.489212809713877,6.481061946550199,7.4639410485763165,6.698399255009804,6.186491121950667,7.874930705801717,7.736691992021406,7.66385868703378,7.538457541671278,7.567156799635711,7.558904302910378,7.757083547265324,7.480250901861723,7.771982020105554,7.578896774660848,7.194067551042053,6.66348952354349,8.169473153070214,7.764946087659894,7.29523835275296,5.128519488173652,3.686666151091231,4.174829218835725,5.60396755105478,4.039152032912512,4.093598709999583,5.88566507096732,4.181154989128231,3.589270231434284,3.529402110505828,3.2993914798565243,4.00181152519508,3.2721694271087927,3.450085494956,3.430605781187978,3.976492340409095,3.3592233751958247,3.285553777974372,3.5267069781747296,3.2402066298014915,5.708284615548564,5.636144829767488,6.713257714209476,5.078581707449416,5.229097412360034,4.517752074107307,4.80005311319951,4.312239649701837,4.575509167597602,4.360036001451476,5.257091101171852,5.058535570361812,9.03819404052274,5.813834176114597,6.705840083158648,6.811655084174163,5.055725371250276,3.375119586344568,5.909458156779124,4.381638296251197,5.431576924556282,3.241253543237576,3.1361063869776444,2.937105106264653,2.8113327900583727,6.466988047413793,4.619463960874953,3.786450367939153,5.6368579637263565,7.348942052864572
326650_11_consensus.txt,5.307768857384303,0.0,2.569391937047272,0.5784338318445066,1.6605557230674322,3.6079644955560175,0.8451645148654165,0.6738063677493074,1.76818694676291,1.2693174317281546,3.309204339233986,0.9405810607578928,5.2571017018992166,5.242302757326229,5.462382006422274,6.4211856828371765,6.221459161733378,5.599847803827629,5.527743131116722,5.7699143001523225,5.886071880694715,6.540814437870324,6.242063866461649,6.17887327470828,5.830204358651884,5.682328498425648,5.883728785258995,6.468857444851835,6.011943409697096,5.435946454753889,5.341074027517891,5.03299903782812,4.816127472951735,5.758203232360188,5.694060210865075,5.61756143491715,5.38015849256567,5.486687800069433,5.570987914749708,5.75007130184639,5.542865193345847,5.644597767899711,5.417673333207858,5.293644909478303,5.018561716617967,5.929893250512521,5.683355627353933,5.327081114491705,1.8487727177875968,1.6297890159454482,1.4998401988051455,2.129819466374215,1.654993648435152,1.520378440638865,2.2220729155624213,2.793049317871237,2.905874567692308,2.8324348757825533,2.8704236418244022,2.9249928727602423,2.7505174804884973,3.0873630288701293,2.796197461746772,2.9903876094689394,2.9752603336631864,2.79119831280832,2.7248033721997444,2.5183695605473986,1.8575611341995,1.63317904671851,2.5602739169467554,1.5312633383615548,1.7659163686793136,1.530552238361679,1.5668355231350688,1.5671462977078932,1.3449398074629355,1.273918383777186,1.6201396177359584,1.5142269276188929,5.37597667560749,3.987946071083286,3.508879097837621,4.004955168922948,2.9747542496859296,3.838034118576502,4.921528397189093,4.341531904080682,4.634573371502199,3.038258497895356,2.900211483259625,2.464197770942292,2.4950788177968093,5.175716513822124,4.33946470924343,4.158489561142346,2.828061519385244,5.200238857549834
326650_13_consensus.txt,6.455520241575982,2.569391937047272,0.0,3.0950969324532025,0.7623806798835631,0.3770427119694659,1.1353745401921742,1.8698276159436205,0.4689065219370718,0.9622787652056104,0.339886331525804,4.568910945446646,1.969494934560032,1.9161927606194809,1.9705220796871568,2.3235378374428706,2.201648843538635,2.02508598395616,1.9876743016836256,2.069444012458576,2.105179857151142,2.370075963024135,2.2024666886846944,2.16688695524931,2.022837783499768,2.0177542603562983,2.067600433713608,2.3219359999544054,2.102639107270761,1.9468462514839189,1.8310476943529463,1.735858507484636,1.6679843826455,1.9788783798567808,1.8758616113069595,1.843914090840883,1.8930198361092607,1.8609556888242764,1.914257782015909,1.9236322386624352,1.7465230681642083,1.7793156202075124,1.876998673028084,1.7374953241192657,1.6648153616559966,1.9942699720043608,1.817388285759023,1.7161378239690634,5.715252081248877,2.875552003185192,3.999932385436352,6.678949621750235,2.9564749041305163,3.572432711657996,7.088717132741124,6.370820370662386,2.8694503303455576,4.020619407001675,3.249080000807566,6.1991651210878445,3.6902398643501897,3.3181080939926915,4.056770441232288,6.05829945507196,3.4551676802699376,3.923550446432444,2.902036366860557,4.125755008130511,5.973179659573077,5.329627705027519,7.720231154142198,4.564727290080157,5.326513283936151,4.390919503441637,4.2233975998613005,1.9553166294113569,3.636921949349812,2.753190623306125,5.12979272400554,4.887931388510083,12.20050049115622,2.8715065451135047,8.227561320121424,9.249499830792615,6.143099981198191,2.4883741059318254,1.726678258010736,2.0448495827340025,1.74958411855647,2.4821976740204263,2.3179987308255363,2.9554724544359487,3.594885748920319,1.7586960985121325,1.943211133565626,2.24067974266228,4.606731469716124,2.3383129019392186
326650_14_consensus.txt,5.330115413344856,0.5784338318445066,3.0950969324532025,0.0,2.045275548018253,4.222259887804739,1.0873554183663146,0.8614203570591599,2.2008001696351585,1.6034774501922016,3.8948982942561656,0.8107652603794122,5.876639016163438,5.878312107227089,6.112924617951535,7.132700500214241,6.924249598349547,6.245089090133376,6.177973372306269,6.459519548219703,6.588717260194187,7.258369384581556,6.948472973089622,6.88797621073445,6.526221272665111,6.352518022433628,6.565370801741949,7.184751950748705,6.704722029211325,6.070658448072209,6.104909431823899,5.745328064906801,5.490563337583637,6.512878242757438,6.446196237189213,6.365624361045377,6.135358730149051,6.249010332552984,6.328700177931978,6.507489005867114,6.286003636564374,6.404309848633602,6.192168308526107,6.034972311861679,5.718691168490977,6.692195945723768,6.439121846730416,6.068301510672541,1.7405032320660323,1.825839163665876,1.5554616756163568,1.9379982812385488,1.8725875792746365,1.6573137312658446,1.99653557176282,2.6611235808494484,3.185320129568084,2.968144421048009,3.1003930181693136,2.8364464482367566,2.929590706395288,3.350131853842754,2.989535895556571,2.9659696660264103,3.227304951439919,2.982968661643895,2.971645975998058,2.6025558531096635,1.6381665673820294,1.4630594223170874,2.1932342151237663,1.407900685852951,1.6106340386049285,1.453827495300743,1.4957316357924242,1.7789784140808251,1.3435210264469788,1.350104673197393,1.472782346924646,1.3629172666129534,4.844967355057349,4.410733935816893,3.2418629850051275,3.66764644044963,2.92246590817615,4.202143426938164,5.473726845522322,4.787418321426344,5.152250893245309,3.298186037630444,3.195208512192437,2.645495599175661,2.611757405585593,5.766456797832916,4.796211706156214,4.570375394621124,2.8313224035521216,5.716337555400742
326650_17_consensus.txt,5.644222417700291,1.6605557230674322,0.7623806798835631,2.045275548018253,0.0,1.2624563676558296,0.7598988011225742,1.1766930425676492,0.5483546298701754,0.6520173228993258,1.020922626408833,3.2016014785313587,2.6507226120822907,2.6510762467571,2.7637538915381583,3.46357358647316,3.194559602043114,2.885495116456525,2.728294977011444,2.8876985847209653,2.9845425794468383,3.549297021383836,3.257260690358464,3.2256565759875,2.930014177111218,2.9080117160368104,3.0507730889543723,3.442135038555591,3.059572461782409,2.7808375508243444,2.812907903523353,2.6402533906917824,2.401983630584993,3.2108953185529003,3.0104884477905216,2.904714566610437,2.8794944506149136,2.8950504965699224,2.798110610151298,3.127751859665125,2.828043293039628,2.8330627315197603,2.822485711275249,2.703500056467305,2.4218202046161537,3.2757745449109734,2.9574718233025123,2.72548283928046,4.424321098316113,2.277821525764012,2.983075710745993,5.017659429885839,2.4255757776104474,2.862674475060942,5.423112747852372,5.22753792696858,2.9213193971216924,3.721033313751775,3.114876084314119,5.117562719023454,3.3568535654198968,3.1852189686488828,3.595769189823727,4.958624613037841,3.250799645134407,3.458876201185376,2.854057290216474,3.549251818854941,4.684008492949374,4.222579982101308,6.1237150541467145,3.58500327180235,4.236845080892181,3.449793006754362,3.4808602581039736,1.829743524733488,2.906039417291595,2.2992454735915544,4.058760044026428,3.8299949358731737,10.26126015727175,3.1369439681255926,6.881613072406424,7.714067917543048,5.239125330955403,2.724521950704059,2.76117384448969,2.710015533402838,2.6955701702268584,2.64723199219668,2.361000205772598,2.6678288390378952,3.10128898201458,2.883118163555196,2.641943990775644,2.6368276888604214,4.435481330588232,3.5506238322587933
326650_1_consensus.txt,7.105877293027447,3.6079644955560175,0.3770427119694659,4.222259887804739,1.2624563676558296,0.0,1.7859512341987624,2.726643091297717,0.8167103825254571,1.5398280147808805,0.307410115756852,5.889114867185867,1.817545714220841,1.7384618179703466,1.7513503285047705,1.9256232397101485,1.879396485675386,1.7714056580953184,1.7954372697000736,1.83242787211384,1.839639596687164,1.9236630554072465,1.830020823835298,1.7907713777373149,1.7258096571811166,1.736263637207685,1.7347085594892064,1.93150308576719,1.79021486741226,1.7143604207959695,1.5106191653657677,1.4957715249261696,1.537613169523354,1.5717735977954137,1.5203601760508718,1.5239170262939865,1.5746036125438536,1.5345165793956994,1.6946710963869125,1.489160584040576,1.4171400826276113,1.4471853591789454,1.561368369396007,1.4502013125306237,1.5161159236696449,1.552074624339582,1.4605188700398912,1.428189632718727,6.953419421167723,3.644275224168041,5.03352201608584,8.128919920810233,3.694299822621531,4.437075754903844,8.549979704315604,7.430508288587873,3.1159996068582814,4.519738541157039,3.6042818618728334,7.203916211755143,4.1956421724297,3.5980984645412377,4.569071755005837,6.99577747639222,3.811004353473777,4.434460772803277,3.223389861762655,4.797404289859173,7.297058627159174,6.547604959905584,9.218989710642632,5.6965689362138505,6.526433064776938,5.415989236019527,5.185932783349074,2.483862122786377,4.59160132051835,3.505707974699192,6.301105405986448,6.065331968117164,13.896620297979553,3.0872316617746947,9.558541545092169,10.678627898591856,7.1435019892644505,2.672731128947248,1.490315354039808,1.99183414642755,1.5417733458828025,2.7888487728236555,2.672357204605362,3.5244753623934457,4.297566063391628,1.472998210870344,1.8745792954129,2.323206957307548,5.301675058750789,2.056005409142017
326650_2_consensus.txt,5.005437515813696,0.8451645148654165,1.1353745401921742,1.0873554183663146,0.7598988011225742,1.7859512341987624,0.0,0.6383690944892351,0.7201046759469705,0.6005996017489679,1.594250472202134,1.926605177648014,3.3599951733380067,3.339039005056464,3.500690623535661,4.248941165171175,4.064349610997624,3.600221862130411,3.53678623491436,3.737523932144143,3.826778847286505,4.332973842010517,4.069954870907623,4.032177423476469,3.7501578099410153,3.650443051343643,3.8038594697019903,4.265240690376288,3.893257062440739,3.475126048003858,3.5237804421290093,3.2882637682436098,3.1106653955016554,3.857900961522091,3.768618590254732,3.692872006725281,3.575349837159365,3.62437842225188,3.6863486004393735,3.8099356643382407,3.6027219434654967,3.6793822126903706,3.584942003655442,3.4403276968987484,3.2400731178219075,3.964929930198309,3.7315638131667015,3.465378674289412,2.9248670752566,1.6097481824113515,1.990907946673019,3.492410458486688,1.6710176585877434,1.849883434491005,3.727592991647157,3.70193583710244,2.3584898331259865,2.766440484556483,2.4731173497885948,3.697147783754247,2.584958827683522,2.617504340315918,2.7625279737269466,3.670946306866085,2.6147565363173726,2.683095875620893,2.254192911770531,2.616369247397529,3.0193637418439607,2.638889652417049,4.16090144922498,2.225777489793643,2.702392106457296,2.13918019492678,2.1083778519779344,1.1830786828125497,1.7445614925720747,1.3390956800071194,2.5293611236750166,2.3612316041675854,7.739957007966382,3.079650314508797,5.004153940373783,5.681822769779046,3.789384590334919,2.6684953455554705,3.099517816193611,2.821138030832344,2.9181264685074098,2.210161911342766,2.060927748742756,2.05613008514797,2.3257056315756017,3.281987146460665,2.791487550211002,2.7738949975271225,3.04596824114725,3.566636866354429
326650_4_consensus.txt,5.179070384424563,0.6738063677493074,1.8698276159436205,0.8614203570591599,1.1766930425676492,2.726643091297717,0.6383690944892351,0.0,1.211937637554911,0.8881967289444219,2.4668193779032777,1.430315838673323,4.302198723935248,4.286224697385705,4.491382186725843,5.3686743086773845,5.158962881671812,4.616286339596115,4.518325639970612,4.750777416989877,4.855648034912463,5.462793640616724,5.166481415656904,5.120721916521575,4.793983367309124,4.672817581480558,4.855378408925617,5.396093971465177,4.96415848350955,4.467097207688596,4.443178694093604,4.193750188561864,3.9792712952523743,4.885234051734869,4.790449421462256,4.698996005342394,4.492155139916861,4.589261602125703,4.65043636956085,4.82722448048753,4.616988139240561,4.695113421622352,4.49343401546696,4.39314766592662,4.127057500215187,5.011861012303257,4.766380780956581,4.436162976019432,2.3832071505642034,1.609443291600087,1.712755572152389,2.80156973496446,1.6666616814339363,1.6828984674101548,2.951675695138931,3.217256810737922,2.624787058625998,2.7917504779976525,2.663665558492596,3.266253294335172,2.6622343012797955,2.8060948070989298,2.7103816488627785,3.22700374789963,2.7520005470501587,2.680692261734862,2.4712991434089417,2.523891802793344,2.463087426583797,2.153616580654329,3.391208047420548,1.8846763003010665,2.256691233889626,1.833526793494116,1.8709622110802115,1.4126222966809792,1.5466338103250905,1.347983601065323,2.0968371287893888,1.9707652872318704,6.656771983074634,3.551498978410791,4.3278816460812095,4.906341296844289,3.45026658079496,3.333365441325043,4.126162036852236,3.68819340925802,3.8749075213473816,2.712735218355192,2.5274429331042256,2.311287070993785,2.444204685499699,4.337203995123389,3.665343337316472,3.5405818280343624,3.076324890566866,4.533903150952483
326650_5_consensus.txt,5.858122861713298,1.76818694676291,0.4689065219370718,2.2008001696351585,0.5483546298701754,0.8167103825254571,0.7201046759469705,1.211937637554911,0.0,0.5958812065368875,0.6877547079892565,3.43881683449041,2.3493732267740484,2.308417925312881,2.409257513909438,2.9516298226839126,2.765679214599345,2.496250626207257,2.39765060105384,2.5251970557361574,2.5882805897964545,3.007116234578177,2.7731494989277508,2.7396718174315424,2.515467044396189,2.4953533129527727,2.594527235619524,2.9445306926097032,2.6320984535633443,2.3994227844624447,2.3419631724841565,2.2353749927182776,2.1026032588437147,2.659369166484339,2.533134288395786,2.4545909248669773,2.4048166280013,2.430568198142339,2.446072415143931,2.575120439105717,2.370558573160736,2.3859784581367194,2.367034139767725,2.2713355558388457,2.109490410677779,2.699378774827778,2.476674320764744,2.28963128765713,4.573275239554107,2.274767687102269,3.0950555102288604,5.33116994419629,2.3646897169957697,2.831696475435308,5.704071566466894,5.348519381702204,2.677187875932873,3.563652270753096,2.948487311277063,5.204656675220576,3.2631057518601665,2.9901428597818835,3.483443518027116,5.0368038520235245,3.0792663143923846,3.361239531391277,2.645046508313498,3.5259461559354577,4.854168235659927,4.319879242740342,6.393209695970825,3.677327456599926,4.342320508242551,3.5084959242149125,3.456393189488552,1.6596948801150688,2.900491934463048,2.2242332259529007,4.153687533882248,3.9389222357986,10.599342049143104,2.897318597942615,7.060887965002337,7.942533153067984,5.284115419702118,2.5741046736294493,2.3118500510894364,2.4020259088752027,2.2503696589905644,2.443152888317286,2.219247596540754,2.6153729283719827,3.104930364332517,2.386242368701346,2.31396936652908,2.445766692956454,4.228400726955385,2.99731567166316
326650_6_consensus.txt,5.3978491695921775,1.2693174317281546,0.9622787652056104,1.6034774501922016,0.6520173228993258,1.5398280147808805,0.6005996017489679,0.8881967289444219,0.5958812065368875,0.0,1.316012598636803,2.598885464443015,2.925228248624194,2.9088810594359416,3.0629501006726514,3.802207005070557,3.5507338338541103,3.1728306858406654,3.035299556717007,3.2114125091299,3.3016676117591715,3.8793371193265216,3.5825775394358743,3.5498154506781248,3.244855025015056,3.202039338069312,3.3450757200899943,3.786824749404957,3.3978571201918726,3.06465522884605,3.1103316909200203,2.9635796491367614,2.7481409663618024,3.55970207225414,3.39829119644844,3.293470026666512,3.1723772291118166,3.2406743746146844,3.216316306224257,3.4679284249548914,3.225089564835116,3.2404078022641443,3.1285010060103104,3.0398072376619325,2.798706306526469,3.635383135355255,3.362440391741245,3.092361435972805,3.701477707262484,1.9549392375523096,2.480748513689377,4.274786291731743,2.0666156752859592,2.371206864249473,4.598079177152329,4.567210633488912,2.729634321103447,3.340781562844484,2.883613318526045,4.468376500861211,3.0615160888249875,2.929996519787608,3.1987929147343266,4.309314191846283,2.962184898361216,3.0806378057402526,2.639123905571921,3.166247191998707,3.979539587787031,3.544143039051676,5.282510783287421,3.0219783412456422,3.6016276960694427,2.8651952788239328,2.9126365569735526,1.6028258245922302,2.4248148333101653,1.9370945739950685,3.412419314689941,3.228670279287769,9.17490218263606,3.139960053616335,6.087638737656619,6.823428628632939,4.632905955938895,2.772970576680393,3.016409380588243,2.854084657195642,2.882145417538368,2.542701440255144,2.2769814687105736,2.4310190421513767,2.7718057297652194,3.147835593202672,2.8027996362708336,2.7563432306853315,3.9808920386329874,3.769242689791838
