Sample1,326650_10_consensus,326650_11_consensus,326650_12_consensus,326650_13_consensus,326650_14_consensus,326650_16_consensus,326650_17_consensus,326650_18_consensus,326650_1_consensus,326650_2_consensus,326650_3_consensus,326650_4_consensus,326650_5_consensus,326650_6_consensus,326650_7_consensus,326650_8_consensus,326650_9_consensus,326651_14_consensus,326651_2_consensus,326651_5_consensus,326651_7_consensus,326651_8_consensus,326651_9_consensus,326713_2_consensus,326713_5_consensus,326713_9_consensus,326737_2_consensus,326737_7_consensus,326737_8_consensus,326780_11_consensus,326780_12_consensus,326780_13_consensus,326780_14_consensus,326780_15_consensus,326780_16_consensus,326780_17_consensus,326780_1_consensus,326780_2_consensus,326780_5_consensus,326780_6_consensus,326780_7_consensus,326780_8_consensus,326797_10_consensus,326797_11_consensus,326797_12_consensus,326797_13_consensus,326797_14_consensus,326797_15_consensus,326797_16_consensus,326797_17_consensus,326797_1_consensus,326797_2_consensus,326797_3_consensus,326797_4_consensus,326797_5_consensus,326797_6_consensus,326797_7_consensus,326797_8_consensus,326797_9_consensus,326907_11_consensus,326907_13_consensus,326907_3_consensus,326907_7_consensus,326907_9_consensus,327059_11_consensus,327059_12_consensus,327059_13_consensus,327059_14_consensus,327059_15_consensus,327059_17_consensus,327059_18_consensus,327059_1_consensus,327059_2_consensus,327059_3_consensus,327059_6_consensus,327059_7_consensus,327059_8_consensus,327059_9_consensus,D103_10_consensus,D103_12_consensus,D103_13_consensus,D103_1_consensus,D103_7_consensus
326650_10_consensus,0.0,0.5393156573097713,0.9556621843107678,2.6783838404314797,0.8956803167644125,0.5864471626873637,2.339810492400716,1.7448492279758057,3.0756359747608712,1.5677294735853593,1.3576343139422988,0.8939145617276836,1.8134312739106235,1.160290038302378,2.8837400959003503,0.8623817622383854,0.49900222690178,7.210484843350628,5.541085339946392,5.276804076047881,6.216201960490878,6.030397238649925,5.460197770821651,4.386072768563849,4.073011540088714,5.408275909953886,1.837110466870456,1.8566778775108328,1.4105965209495253,2.1702130799810675,1.8604307049761812,2.140728687810622,2.098580127262835,1.83452735764854,2.490494664872415,1.8930019339406956,1.90718033010927,2.453350827505289,2.269592203455545,1.8990057533959543,2.3022820092052143,1.758155426013559,0.8891044144430111,1.1192382244730084,0.8879761168674349,1.147974269313238,1.1083651298805537,1.0003966712439478,0.8398932173755611,1.3237485598054946,0.8353404570823386,1.225120904516416,2.332764628254097,1.2253332169213422,1.6019351261125507,0.9513998068470072,0.8893274350539286,1.4003153700908229,1.0196398689860189,3.1348542865395075,3.5213917060045787,2.334265043928042,2.225176069268173,5.188168758381494,3.958504365851809,4.308019671007628,5.82017659694867,4.500507373903758,4.619041020621921,4.979395273016166,4.465883489453063,5.166638011480984,3.562454508949827,2.928071300500278,2.2463290839080514,5.36684760494876,5.26224729301191,4.702889235985822,2.406866697104647,2.485610913877736,3.565593673316471,5.803234981399839,5.463168773784389
326650_11_consensus,0.5393156573097713,0.0,0.6015759389143227,1.6902461338472676,0.4532174691867112,0.4880299295650161,1.4902480807455731,1.1408328857400534,2.013712091875732,0.905434990642732,0.7325015508250203,0.4867108230952226,1.0550180228721049,0.6143042581369969,1.863679068823956,0.5039319163190044,0.4101939973713797,5.941442005960141,4.514704025205958,4.265060476164365,5.074675050828773,4.919671569458444,4.445676097077808,3.342504222176899,3.11264764570052,4.306659215079435,1.4082806831805783,1.4463494503187349,1.2445789402774494,2.6021581856354032,1.5550081258344337,1.7529156160460957,1.8417983508770133,1.5507586637326654,3.067677222917098,1.7361440266283807,1.703523962782015,2.49699381996237,2.119832722576234,1.906944977644855,1.8920292188789745,1.726096915871608,0.9128951696272908,1.1534958113194875,0.7377889349511406,1.3631586605815755,0.7565088835185065,0.8218994715439862,0.6307875388816342,0.8496880243905025,0.6253556490015626,0.9539011635946508,1.5304873682957805,0.7550399520278575,1.0360985203814153,0.9718149294171212,0.7914108402242164,0.8817784990388873,0.8106751771346126,3.624871506267482,2.76739426485409,2.207487647533867,2.197392430544994,6.037776900255665,2.9877846988610486,3.2911328320515167,4.534493250843752,3.429390715236877,3.551984700244361,3.85620138533568,3.435663147382911,3.9877632096722655,2.675556654993045,2.1549467838892724,1.689121936359527,4.14987106676881,4.063132193007903,3.603821665952751,2.00230777651268,2.0119745642754765,2.78130099908941,4.541227985816136,4.2462539235484655
326650_12_consensus,0.9556621843107678,0.6015759389143227,0.0,1.4382443074088656,0.4659706365388274,0.8335336827301489,1.0674599866460994,0.8176054647001365,1.778655516369554,0.7235691114883593,0.6543042490122275,0.5717231080870988,0.8354420615507365,0.5288138270432228,1.5595214835137767,0.6395115803110798,0.7989898624072111,5.352867276119412,4.00702567509893,3.757550171160005,4.595585666146576,4.355672040667173,3.967289529055847,2.810673289858244,2.530448911907399,3.633153917574873,1.4108322374625004,1.523189752401663,1.597123784471819,3.548182038388802,1.654120761949116,2.051580916622754,2.2069380553993483,1.8560104827358828,4.087276631598229,2.192041069391109,1.962525316251515,2.7336661461121707,2.2931902697413307,2.199913006177667,2.0223432685695,2.176840447157076,1.6740762674310758,2.079381252417079,1.2788471791821507,2.281198628249001,1.1635961787412157,1.5109897302269817,1.0522284238666089,1.154375771917728,1.0831977143803897,1.493385448221943,1.5843225803774883,1.0455482309786817,1.2475037582195796,1.768769585573125,1.285175391975372,1.1224624955602849,1.4099634070871048,4.838777334887254,2.6238905997465167,2.705696273904948,2.882269736655076,7.65993928183866,2.6902162941727283,2.899116448223083,4.2755976645782425,3.150073302824921,3.1184355612618333,3.3631629789368844,2.9576210907843574,3.78220015260149,2.6980075233371963,2.080705951433515,1.6802846621805545,3.88457641502157,3.7802544946025023,3.2226102502759204,2.4663381253264447,2.3981055023401723,3.22317802884254,4.558769706385704,4.377271908522232
326650_13_consensus,2.6783838404314797,1.6902461338472676,1.4382443074088656,0.0,0.9442343877161647,2.3250272457125334,0.3979189687880193,0.945775283577916,0.2711515215649456,0.5021334483549253,0.5864263414291031,1.199067750420454,0.3677907505360167,0.750326504824443,0.2156387545631446,1.3777261755338372,2.274777606535224,2.9680893327961826,2.287840303057351,2.1397300941404183,2.5314647127429453,2.440113005103399,2.2982729141558025,1.4350318502242772,1.5210954810628436,2.2358070577220133,1.890247918232319,2.041042291759652,2.803702283859309,6.176722881549836,2.308294461210096,2.3470321692198013,2.890612216052375,2.531304148362437,7.131964110343404,3.164683587231707,2.8858603681019304,4.346080711740058,3.347030355551283,3.806641569813507,2.269359692895307,3.538191268632147,3.1807739896463545,3.575821711491983,2.295569280299788,4.3564153735060245,1.602611428974399,2.414505442760799,1.965702650708863,1.2436301634449478,1.9662146062154875,2.1011428856481302,0.6624193221342125,1.175227676964596,1.0325297752600022,3.276016657818843,2.556878031737199,1.0841492486180755,2.222772517701742,7.818647128601015,2.094500402288759,4.014058234513641,4.427271066502897,11.5405637982513,1.3719784410405396,1.4677912032220777,1.857957357068301,1.396522132161124,1.4592030022542986,1.6309454148332063,1.488825930939072,1.6687659380111768,1.5396847199373838,1.3098404361194298,1.5933170800911969,1.6651780072710949,1.687001131409886,1.4813076552519533,2.781799390603396,2.529066489328613,2.3094310321412195,2.1907236278846085,2.2025184581519284
326650_14_consensus,0.8956803167644125,0.4532174691867112,0.4659706365388274,0.9442343877161647,0.0,0.7568191567653457,0.7367672494542603,0.622696066988226,1.2265899092641916,0.3955976756668633,0.3572120944186849,0.3885569688109171,0.4859856986079762,0.3028970769351531,1.05091505070493,0.4447064647582124,0.6876066294236693,4.685351618971595,3.4478030695199777,3.2256648613701486,3.960996605287733,3.7866224976123695,3.395861730316824,2.2977904142198327,2.1199685046291847,3.1418531224018693,1.1755852233081896,1.2948936293506677,1.4425215765789403,3.4389268038526666,1.378072439206676,1.646069684085603,1.8443491057152528,1.5401721132105308,4.051849291110784,1.879051092985492,1.7010211568633622,2.585016689445524,2.0627728605002176,2.081473265106524,1.638625167127941,1.929850153693792,1.4259160112954987,1.7975312375346562,0.9839162936851836,2.113884371496738,0.7823110928146662,1.1585009190480378,0.7697212888123772,0.743171146891541,0.7900071959705315,1.0884705256604548,1.0241304084579497,0.6408252979023246,0.7712758999284688,1.5134844428584415,1.056724768107756,0.6876829425394817,1.0490451364056526,4.805911393259407,2.2300487069298924,2.4923653118466405,2.691586711418097,7.68389243426293,2.189748244777377,2.4071456596216194,3.555875369474734,2.5295406040834223,2.5638378453677437,2.836547012400729,2.478739156168217,3.0898400913718547,2.1446431786300195,1.616308567002534,1.3311789869308086,3.181697446737985,3.1276363325247303,2.654107368161533,2.0661028292991546,1.985342640617887,2.5925643504950813,3.7725257630136175,3.609334441099122
326650_16_consensus,0.5864471626873637,0.4880299295650161,0.8335336827301489,2.3250272457125334,0.7568191567653457,0.0,2.011246524476178,1.5071355635865302,2.70161399933437,1.3451943387266283,1.139206817962986,0.7683250912455719,1.5490112264688491,0.975212572826365,2.512578734495264,0.7644589213863355,0.5150327993759447,6.730272917713421,5.169867193696803,4.903901533035878,5.800633113528249,5.628803938898841,5.083827792941122,4.034982437823999,3.747312641727831,5.036671041610248,1.7238180500402225,1.774719668215596,1.4319620544395093,2.461140942214513,1.8185966376582885,2.090327056479282,2.1009521461811573,1.8195735207603436,2.8363747974852345,1.9320319654026437,1.922148942042725,2.564762957207904,2.304014523740193,1.9993748185382287,2.2296255737953743,1.83480059806476,0.9688720804727496,1.2202838552673256,0.893233022743118,1.3112889730554116,1.018334521844963,1.0034180352692488,0.8098188349573547,1.1878155849132668,0.8150167579606205,1.1933171204767632,2.0737740664324065,1.0979917200021987,1.4341465576727614,1.0334996638458165,0.8966869218903639,1.2431049648462815,1.005692058956981,3.4964261819995386,3.34369690937848,2.4332377010367168,2.3747068059723238,5.720685921440008,3.6926096376425335,4.01296344087956,5.439888351412208,4.196492232365984,4.3066140150151,4.65102736214709,4.172014738935047,4.836157213009187,3.362824328317231,2.7448697364552004,2.14487908053934,5.017746566748656,4.921434555689075,4.385756564297708,2.408032034477799,2.4597761162058305,3.430590507790328,5.461802752224969,5.146090513640047
326650_17_consensus,2.339810492400716,1.4902480807455731,1.0674599866460994,0.3979189687880193,0.7367672494542603,2.011246524476178,0.0,0.5759290493084563,0.6094295019191236,0.4076367833905578,0.4827082722467253,1.015549336395793,0.3323855092045846,0.5533080057764437,0.405300389133572,1.1658549757109995,2.0116564855073875,3.245166206503086,2.427193827445421,2.238263044261487,2.7946133885462245,2.575183925692329,2.405563277079864,1.5125546935242369,1.4409634462833765,2.27227176406052,1.7146194947402478,1.9394745836729044,2.6832382129124426,6.036594395318844,2.1887253688167903,2.5418728651356446,3.0086406378517268,2.5983374149046767,6.90184877739847,3.2366276329075845,2.8432772599527425,4.086048243821551,3.225186763584474,3.5725387309444727,2.3600341573031187,3.463922707330198,3.186653100062756,3.730745687271338,2.314265285533793,4.289843407959552,1.7027690850120507,2.565741365886197,1.9101287579151176,1.39716296810343,1.9934153537865316,2.297811662397919,1.006885165623487,1.3082422116102634,1.2406756816297957,3.33953840704379,2.453586458552934,1.2252931823712174,2.358369983190869,7.800488332826205,2.232011974156535,4.022857201826753,4.5080798767036185,11.533460370738055,1.5699945377503468,1.6385900206315682,2.4816946410887226,1.7731453787578175,1.6703185610851392,1.845598350567343,1.6190136431750377,2.2363308550378638,1.9461541952842936,1.4973793590830835,1.6088530757343165,2.234678298465383,2.1672318554109893,1.7540743330700366,3.121499830196285,2.855187907330276,3.047523050896359,3.1095066864106684,3.136842078478935
326650_18_consensus,1.7448492279758057,1.1408328857400534,0.8176054647001365,0.945775283577916,0.622696066988226,1.5071355635865302,0.5759290493084563,0.0,1.2584199180120663,0.5625925498108018,0.5902132070764878,0.8408936576194606,0.5862538581191643,0.5370153132671476,0.9920651964845888,0.956422145053125,1.5051926515222362,4.249962908106738,3.165822545888716,2.9252313272408514,3.6723411309791913,3.40164669152216,3.1127026705181606,2.059614115144086,1.8575665221682696,2.798969775043872,1.6188894692890017,1.8394957762577635,2.3118609730971684,5.04619237251552,1.9662934369393952,2.454709164883297,2.767438296536,2.374163343369389,5.754702885801294,2.8964707558807845,2.510805545133905,3.468045722384886,2.822846014838888,2.982813000890019,2.290795306818211,2.970384877609547,2.671621083189791,3.2277626255670384,1.9863639844231216,3.562180076588504,1.606707824310206,2.2864633778416987,1.6215524721785073,1.441839885849106,1.7201139350831909,2.116973789893848,1.4306565764428,1.3263678288606116,1.3863308654991329,2.826666104229844,2.0423589559725315,1.307701033094986,2.1059868870139558,6.712041707848528,2.515658456017775,3.5875353477795784,3.973048943496451,10.07132854185386,2.150357616364204,2.2579509309643413,3.5095086759653213,2.5105260914014025,2.3856256212503126,2.5858684174244218,2.2452529197134936,3.129657468934056,2.4643355769554773,1.8576429398499956,1.6902126684298082,3.1774185799419,3.0650071355818795,2.493579334669903,3.1195189272054336,2.922930013125324,3.5391928877516534,4.191731598364527,4.150939865363114
326650_1_consensus,3.0756359747608712,2.013712091875732,1.778655516369554,0.2711515215649456,1.2265899092641916,2.70161399933437,0.6094295019191236,1.2584199180120663,0.0,0.6667082619037501,0.8238315676622392,1.454344244921458,0.51264725100134,1.0033922491936096,0.2603124907624874,1.695313718633031,2.611468571960245,2.983773222290779,2.29553605334695,2.1706854615018187,2.5251634103557308,2.488462558280389,2.3473387417422487,1.350227498489062,1.462598062593372,2.1181301921885733,2.124497271514201,2.2246367718037163,3.028163667318154,6.389121784065878,2.4118802132171595,2.284270603466439,2.8689034508162194,2.544657600787332,7.3840061228737,3.2190584729690954,2.899904738524242,4.385137810029221,3.339183392831387,3.8807072152552,2.2251948819320546,3.6489849727893215,3.472794775751936,3.827296881292909,2.5727287957004137,4.68360482123569,1.8446039664208345,2.673963111489229,2.269307614460274,1.4566813006923098,2.1826072373020797,2.221728407325031,0.7025890080691397,1.370780275307652,1.1504791517549506,3.531227118416893,2.8740387419029503,1.2934048926088622,2.440131014107635,7.912557906794973,1.9601195279714148,4.005876450054984,4.422188419610109,11.631779897202025,1.3694863548158196,1.4687167108001518,1.6951445710227515,1.30776014410867,1.423556421018816,1.588148043256183,1.4664582411730862,1.5223605264217213,1.509191257336397,1.3528258349261364,1.688075974792639,1.5030954616419765,1.5761173876904309,1.4481831140922736,2.660962877419024,2.4433428691084487,2.0735688275367465,1.805424682843864,1.862128545337555
326650_2_consensus,1.5677294735853593,0.905434990642732,0.7235691114883593,0.5021334483549253,0.3955976756668633,1.3451943387266283,0.4076367833905578,0.5625925498108018,0.6667082619037501,0.0,0.3334626575800712,0.601082206568833,0.2450890866170993,0.3483065533977196,0.5365345596921998,0.7300917933954452,1.2585624999791207,3.7958946107573865,2.692526741435586,2.508283058259167,3.166744248283919,3.011295642529205,2.6837657858759485,1.6118267029721665,1.510649179083316,2.3694324916291976,1.2873591510621054,1.4465569330635049,1.895186085925616,4.3470681598894885,1.4017203383899073,1.5996497331963155,1.9222343168540303,1.6208720312138212,5.112454486789147,2.102712697567995,1.8052676110968944,2.798437384790077,2.118633122920073,2.3818192929810493,1.496679311526293,2.260245591246985,2.1079225438110143,2.5450307685725875,1.4448757598863151,3.021754516215367,1.0387234284800115,1.6685280707837933,1.1731598317958287,0.8596092719946,1.151806504827675,1.3513867047661847,0.7204257799907055,0.754762433266535,0.7127327944818944,2.196307990156697,1.5800080935167102,0.7423539101932874,1.4560465535049616,5.989126628930762,1.9101199816045096,2.9002851774054648,3.2569303184760656,9.24230557094711,1.659057236947831,1.805204241759384,2.751604637099604,1.8257221121759244,1.852765232483705,2.1194041706469307,1.82473544516256,2.3661133692878025,1.7902922856969212,1.2999015502350062,1.2103982662046633,2.394138217877128,2.397477695304474,1.9761045721694472,2.113180875024682,1.974926293976523,2.338503346239236,2.9474475870292167,2.9062650192338424
