Sample1,316188_10_consensus,316188_16_consensus,316188_4_consensus,316188_6_consensus,316188_7_consensus,326650_10_consensus,326650_11_consensus,326650_12_consensus,326650_13_consensus,326650_14_consensus,326650_15_consensus,326650_16_consensus,326650_17_consensus,326650_18_consensus,326650_1_consensus,326650_2_consensus,326650_3_consensus,326650_4_consensus,326650_5_consensus,326650_6_consensus,326650_7_consensus,326650_8_consensus,326650_9_consensus,326651_14_consensus,326651_2_consensus,326651_5_consensus,326651_7_consensus,326651_8_consensus,326651_9_consensus,326713_2_consensus,326713_5_consensus,326713_9_consensus,326737_10_consensus,326737_13_consensus,326737_14_consensus,326737_16_consensus,326737_1_consensus,326737_2_consensus,326737_3_consensus,326737_4_consensus,326737_7_consensus,326737_8_consensus,326737_9_consensus,326780_10_consensus,326780_11_consensus,326780_12_consensus,326780_13_consensus,326780_14_consensus,326780_15_consensus,326780_16_consensus,326780_17_consensus,326780_18_consensus,326780_1_consensus,326780_2_consensus,326780_4_consensus,326780_5_consensus,326780_6_consensus,326780_7_consensus,326780_8_consensus,326797_10_consensus,326797_11_consensus,326797_12_consensus,326797_13_consensus,326797_14_consensus,326797_15_consensus,326797_16_consensus,326797_17_consensus,326797_18_consensus,326797_1_consensus,326797_2_consensus,326797_3_consensus,326797_4_consensus,326797_5_consensus,326797_6_consensus,326797_7_consensus,326797_8_consensus,326797_9_consensus,326907_11_consensus,326907_13_consensus,326907_15_consensus,326907_16_consensus,326907_17_consensus,326907_3_consensus,326907_4_consensus,326907_5_consensus,326907_6_consensus,326907_7_consensus,326907_8_consensus,326907_9_consensus,327059_10_consensus,327059_11_consensus,327059_12_consensus,327059_13_consensus,327059_14_consensus,327059_15_consensus,327059_16_consensus,327059_17_consensus,327059_18_consensus,327059_1_consensus,327059_2_consensus,327059_3_consensus,327059_4_consensus,327059_5_consensus,327059_6_consensus,327059_7_consensus,327059_8_consensus,327059_9_consensus,D103_10_consensus,D103_12_consensus,D103_13_consensus,D103_15_consensus,D103_16_consensus,D103_1_consensus,D103_3_consensus,D103_4_consensus,D103_7_consensus,D103_9_consensus
316188_10_consensus,0.0,1.30461599847672,0.4684783763918858,0.6803238244231125,0.3775092141103755,1.7670717690292577,1.7467939629979128,1.809113035742541,3.121899775784584,1.7530166817787176,1.841811264220496,1.8401616213292868,2.588801370760507,2.0519227413662406,3.407440723364914,1.9666009474088924,2.1987674881079897,1.825375391982164,2.5091604462487567,2.276075296991337,3.353181506798592,1.8344176175416465,1.6538592605287477,4.930539832458351,3.3998481426148146,3.3256399643552754,3.947758135736194,3.900238675535945,3.362946741124404,3.055937476096517,2.980036955923594,4.077705337961277,1.5242985246189278,1.6095553516704513,1.159584437885087,1.642940215758415,1.8581388285397795,1.2432239452018052,1.1617843581663578,2.656258907475888,1.272240965774472,1.200294896709465,1.8099020843593507,2.2861393357012503,3.332346580466492,1.4879121590457205,1.7787952664524482,1.7496304913616996,1.6316630093540423,2.476436149683707,1.5432009714855326,1.5487784962101614,1.6628908780435836,2.0895625136647027,3.291268201773676,1.8348383477753032,1.8247375560719088,1.6843538838905945,1.554862502488504,1.7249564907323247,1.9745536710955207,1.9495754393664129,1.664556456916273,1.7095386142113966,1.870074388480134,1.8797311755581632,2.009313394255912,1.6050013372428111,1.6024852701698933,1.6000961972488312,2.156656752684853,1.680723131759919,1.7407019283488123,1.7402498223269731,1.5499428562723097,1.833670550089608,1.6192065446815604,4.420341675698637,3.049718231459224,3.342101891636162,3.4902592134753263,3.952064161712258,2.270230892694144,3.0474803989950487,3.399494904596964,2.833551648220748,2.314620582189264,3.676185737285152,5.870316519845517,3.005152553306914,2.709208769669999,2.9884345127169354,4.198792953467944,2.7922146481956247,3.1995307571003764,3.0055033138528984,3.517245178010853,3.2291661922109824,3.718414146625264,2.122083517782756,2.002011733672134,1.181668763712878,1.4467098175591104,1.1961993663927046,3.800246037007753,3.67529771724162,3.2755078782739133,2.2944039172304542,2.3981827169604912,3.3637568917807243,2.861929574323142,2.4612995903393085,5.271180948529377,2.8924077219886044,2.576197000069385,5.02891841367375,2.9505638392253672
316188_16_consensus,1.30461599847672,0.0,1.1622002072761577,1.2948591558828184,1.7987124397931211,3.3461575761435824,2.897976932112784,2.8768785436224675,2.25172783003444,2.6226654338557864,3.53072878222622,3.537652622591736,2.100833836403297,2.35846042839313,2.4496249610852487,2.0305345772655983,2.180916119238077,2.48380714357495,2.016536277957244,2.129288505071031,2.2514273427245826,2.3818306114339407,3.17994484391312,2.581732290792786,1.626770469102894,1.530942980737677,2.0228127364964053,1.9012587952756803,1.5505578615662898,1.5635011127341727,1.6099539272213406,2.3588967068045577,3.550308977352927,4.058963581540809,2.4963108729541545,3.81346686810366,4.608127862132051,1.593440713262396,2.507433329915557,5.882702934804968,1.9590625873291856,2.298328588651202,4.470561100127554,4.970808983489746,6.999708807770503,2.8761958829372816,2.474458915998639,3.249123542001428,2.5210906258272416,5.473698487689489,2.639166058165756,2.714161346672938,2.716271165914918,3.462340108628098,6.627881224499276,2.75220804760761,3.4092322551538814,2.451348946515622,2.9519345061926288,3.8668385691808,4.313616242825788,4.480846199226562,3.6631137642184513,3.138675612700979,3.81892601047332,4.223892269686019,2.3449144319265542,2.500540167529209,3.418532621611177,3.1059375947719445,2.587117998682686,3.044566509528522,2.4942780633117536,3.843026316135649,3.3526664450104136,2.3987914771282703,3.269890666599565,8.489578256689867,2.7691175469884115,2.455169595804193,2.5984713669463417,2.9188502804536256,4.159590140197679,6.022091622536152,6.752004660093178,2.486092198005224,4.120117237601619,7.179790130813444,10.700774741466487,1.5502965592379496,1.5560902079158154,1.6155841372952864,2.637173829833614,1.5713354428150978,1.689220896712868,1.5010054355463467,1.9013044972395503,1.7282453713759764,2.375306876451305,1.8790007088232408,1.4203480149891448,1.7189139781613676,1.7425257930622706,1.4784481222210957,2.3346909404646112,2.202374089949217,1.8425142295525347,3.7315135208367,3.5507402608111533,4.850143804560275,5.51593644583977,4.438740849570877,4.422939451023353,3.734676135968357,4.805248196386856,4.494032889214452,5.322057448809687
316188_4_consensus,0.4684783763918858,1.1622002072761577,0.0,0.6621375532587876,0.5985295646914892,2.237752575858736,2.164546513042808,2.1946084793748355,3.2857214932479337,2.1338930469705133,2.294780722445012,2.320351190406882,2.7808994367876494,2.3153639435780065,3.5915161003140383,2.2441972826778738,2.459884964146795,2.175162142193301,2.7209032417354706,2.510517818328708,3.4869311517823007,2.1560460562029675,2.1193023162781515,4.913104870514246,3.4179734632720056,3.3131974505132007,3.969631524262013,3.8801953167076704,3.301963977891376,3.0710897824727112,3.005541734456756,4.027705922288988,2.06172805872842,2.219368528435893,1.655841618660645,2.218738239720267,2.555055815594472,1.56544841231414,1.6334616104944075,3.356440843385883,1.690705140813293,1.6687946582280233,2.4504457685960688,2.816578055221953,4.074378688433853,1.8798460098151395,2.084220936608972,2.1753893592738223,1.956900654027777,3.1001812362307533,1.9005015044271545,1.9053687517769613,2.0102546322691524,2.42179990570412,3.96375012619211,2.1091116691827096,2.2341870207039847,1.9996948992945816,1.9359555727086213,2.3597514778365394,2.661831938443584,2.631300211400344,2.26601268745236,2.2443450565916123,2.488344073677979,2.534968110257012,2.4086402088851173,2.0529809205628453,2.199715223892099,2.13742852503475,2.5939527322195204,2.2232093505140824,2.1747481546856307,2.368130888318831,2.1141899614559634,2.2535872868376146,2.182536441965567,5.226624662705149,3.2444714019783305,3.425974804482223,3.571114394689289,4.012429096658195,2.73348252649555,3.700864258333297,4.060831610876733,2.9361295683747244,2.792246072740454,4.388623734755072,6.738693450306869,3.034533889445015,2.791841756776193,3.0371042674078126,4.322105021602397,2.866024955036721,3.25773397845262,3.0226830874810844,3.568964948951248,3.2913524622159684,3.879900371827091,2.3793607436237494,2.180199008906243,1.4681746608507638,1.7472679862791551,1.4632295946128693,3.9461304449205272,3.78714675955905,3.3500811618301327,2.826737343182799,2.871397949512186,4.005273709322808,3.537156900323509,3.061666651102257,5.62575531265918,3.3852883397770483,3.2306752765010742,5.426824047181412,3.592889354375586
316188_6_consensus,0.6803238244231125,1.2948591558828184,0.6621375532587876,0.0,0.6803155171716071,2.049643686840625,2.100190162754302,1.945736112915256,3.399527396901476,2.016809685073156,2.236639001791218,2.1406951411546515,2.641883661661666,2.021821133939511,3.767318506569609,2.137542631653048,2.38696335698603,2.0437043514456263,2.593533332144432,2.337564347428156,3.5567439942764167,2.0011912356131347,1.9411471275407168,5.626377182598048,3.904369757945688,3.7566249693148848,4.665585588625845,4.4646968964520966,3.823942206648724,3.103980220233325,2.852472566830272,3.933070502451642,1.8964089135027395,2.29851778501336,1.7290649563958596,2.0914660859117475,2.6750449843208344,1.6682459488406494,1.7036602604309792,3.282922472400969,1.804075631311776,1.815362314651452,2.357304568503878,2.357057294918832,3.841215911288259,1.5783212244440392,1.9930632595371665,2.044521187740486,1.781282326187977,2.7885270808099563,1.78751330469629,1.6914419577025228,1.7128113173505426,1.7779663565508486,3.3688363748353822,1.6284982936953156,1.7279367282507678,1.8287267761655244,1.6691259632090123,2.4739220509163147,2.909094253888384,2.7542891912343634,2.334254751702929,2.4331278071070983,2.792357749102507,2.5948411330402905,2.581101415857404,2.148349876754935,2.2479543761132845,2.3073759847433166,2.896331122713377,2.40522799234418,2.369951700432125,2.510654743604164,2.1251335022735702,2.430851643309552,2.378282104934158,5.3530755282599785,3.3165780346704423,3.414146034643238,3.6028484891555763,3.956292764604086,2.819346852666115,3.9083776451418544,4.183007668420373,2.8519871643374586,2.9307672763334267,4.529051200618085,6.845305822652449,3.2238094712467387,3.193105290061282,3.372065879596562,5.152400154226484,3.3607575848857323,3.6710791551205375,3.155875858636591,3.9813747213729584,3.57881881090168,4.651252775535227,3.0674498428759307,2.584005706582502,1.6775249017881606,2.171062312936158,1.6903135998948071,4.684204560025478,4.458981290258407,3.8436246959309415,2.936009736486937,3.016729056317388,4.6128129054069404,3.8522107571712354,3.1183936099698712,6.221198510979605,3.7396146746268073,3.305198180206503,6.089305692221672,4.028163233762939
316188_7_consensus,0.3775092141103755,1.7987124397931211,0.5985295646914892,0.6803155171716071,0.0,1.6492052178928702,1.7663773918300194,1.7852639285164855,3.6601446867836094,1.824556335557702,1.730073619326447,1.6882970547540026,2.9605080714889027,2.188342859176089,3.985848653204698,2.224604514484099,2.486471549380042,1.938393217319288,2.89446526106002,2.553871626083321,3.93070627499543,1.9681146585734268,1.5498647478017915,5.999954520000529,4.218903957699297,4.139441146238482,4.890292508960783,4.811739463802383,4.195389018280821,3.6973285356451697,3.526884438124512,4.743497467413306,1.3225087449865214,1.387765368673456,1.2112178234512498,1.4297952390297723,1.5851678825902695,1.5307015276985112,1.207800674015175,2.180366645734125,1.490017115226749,1.3327139926713585,1.4799626651289373,1.7771185338675082,2.679827492729771,1.351558543088231,1.862253820311082,1.6462474695578069,1.6454027905597286,1.952299431414872,1.5377420495718752,1.4900463691524235,1.599806404434446,1.8179188530912145,2.59966766932547,1.7184980217202792,1.5669140424494683,1.7295878523624424,1.4226365273937631,1.6091071375330444,1.860856820476215,1.7389255271589263,1.564701306081929,1.787386478287317,1.864025656764852,1.698314858595154,2.338001719188469,1.7745211684290323,1.5412407246507769,1.6440960020833018,2.508420942407781,1.7694462732158058,1.9698385221667536,1.6378916492320172,1.4751554766100412,2.1100935840772763,1.6394118022822113,3.773181444806312,3.3823845325963475,3.781033039947772,3.949103417682693,4.411259989050336,2.120360153826425,2.6909818980336127,2.9132396453188107,3.1168425128238937,2.2014764741392128,3.1649750030317136,5.024527498006421,3.6698611401269545,3.3863618940677043,3.6882676621460746,5.130425887656827,3.5094698670095,3.966343614001346,3.664779340610039,4.309929317727892,3.947213175808656,4.584452405029083,2.706102526430982,2.5630101766215034,1.412975614153254,1.819050695703254,1.4929273571538602,4.681230266771593,4.531793389940333,4.052752621963236,2.3112202544024854,2.4925173425378944,3.5677985157853414,2.66618686146478,2.336879808582978,6.002361901077791,3.147823479554347,2.407512695176649,5.71150929217157,2.861011262850184
326650_10_consensus,1.7670717690292577,3.3461575761435824,2.237752575858736,2.049643686840625,1.6492052178928702,0.0,0.3114600246522059,0.3119067873176391,2.209378892712777,0.3882111775609473,0.2780364464210834,0.2354468597682739,1.428009900648135,0.6848432486680167,2.623277773065979,0.9591957809825544,0.9944813943474742,0.5001719605925814,1.4949705352550495,1.0560477491637812,2.540254798388389,0.5394441260726808,0.2413098255865406,6.687908428830269,4.997670305915165,4.8032067493744535,5.698864093756924,5.498423720963217,5.038219064984901,3.829932001296697,3.4950687126169555,4.87450307476297,0.9086697768356088,1.1796345924052505,1.0495794340746445,0.9756892743329216,1.358115294931281,1.4998253096845249,1.0079929417154858,1.6312594024427651,1.3559214678788294,1.2075917336002815,1.1746824430867946,1.694594121198861,2.719444753746643,1.2964781095491844,1.9877990481583083,1.8613112825980809,1.6693191091774793,1.910979444340967,1.592393408407759,1.5980840651850483,1.7025332136983025,2.279217924761781,2.831653334940995,2.0600460425598044,1.69622572978858,1.8924925577904328,1.582003943999155,0.7162178436240083,0.91277329659448,0.8793467583475376,0.5986588521309955,0.7734019011576265,0.8616333473116811,0.7292469147982956,1.2418942489365463,0.7877748115286636,0.6292285866434213,0.957510090202618,1.508463695361968,0.7627666503956902,1.0942191117678135,0.7263150569498862,0.5592988319263554,1.100517013695992,0.7860163604578929,3.568727236094788,3.118169613141788,3.670246475424733,3.86486671591922,4.214721202588578,2.0736433058266925,2.6148530995789656,2.779370128820517,3.1819537063515213,2.072655506132321,3.01695994327514,5.028215433411731,3.751960782642868,3.55690371332679,3.790062054595353,5.306475308832376,3.948412070856193,4.110865870273415,3.754514677383497,4.347747077164797,3.9765146866294,4.794678301416468,2.9994193800412745,2.79172811977071,1.496238384570404,1.9556240030610184,1.7351707184742509,4.964022093112192,4.717931756359576,4.166455127073448,1.9278030467077087,2.100651525337298,2.9951444136546,2.267069130832681,1.8129885174816425,5.277797362163142,2.516676381131504,1.8922480437877311,4.953710781481391,2.3184052426238964
326650_11_consensus,1.7467939629979128,2.897976932112784,2.164546513042808,2.100190162754302,1.7663773918300194,0.3114600246522059,0.0,0.282769657034521,1.4834587687684009,0.2431114213122214,0.3414275958497228,0.3517230632934911,0.943078385923684,0.4862036591028413,1.811240811503524,0.5834174038189985,0.5918257509769091,0.2894889182624638,0.9758782009956236,0.6663502931179437,1.7659824755073714,0.3245741318255568,0.2930727754466602,5.674479109749939,4.197900020196073,4.019471982552432,4.794144855082038,4.627661922415712,4.245567524223247,3.0673001009147924,2.826315300831027,4.070533972463693,1.1814609212579512,1.472477919826872,1.0494405675292455,1.2684695030035869,1.7057991158841332,1.2816850529939074,1.0320501597980185,2.1983703301326614,1.1701587516564589,1.1199717123479331,1.585594323353689,2.221561300681401,3.358971652885145,1.356425740806344,1.7310415738484153,1.836117944370472,1.5055602351263246,2.4039784599486325,1.477619309710292,1.5490580047990647,1.6398465222327443,2.471985877611928,3.514287647456797,2.053297651289199,1.862386619832023,1.7047621264930513,1.6255199863171583,0.8256672466281998,0.9961391281361216,1.0825827554295984,0.6888284838991012,0.6600846577562152,0.8314275747909505,0.92448844248662,0.8448581664223411,0.5836661912292129,0.6510620452252169,0.8408522698582601,1.0316847638354147,0.6192575744636883,0.7767604894625606,0.7936955132840922,0.635802015786112,0.7680438347072709,0.7246502428440635,4.1265593854878375,2.5717381692118124,3.031431529734732,3.203602470124565,3.536298182138524,2.073143216155472,2.835582287385421,3.145928498182627,2.707668638035557,2.022459062084465,3.4041243922192166,5.794625503370185,2.977809308044584,2.767848950995358,2.9729994491073626,4.231325882887518,3.10398138081797,3.2335457163216006,2.99120245393135,3.4362132038389177,3.134172055614897,3.795749873520265,2.319362796106077,2.148941099428555,1.2117328309687423,1.5220281051442155,1.3748824687588694,3.9494380320581968,3.730042997367434,3.274097438886372,1.700150800810718,1.7908141725870903,2.539146753454133,2.2828575573925605,1.7552330666223952,4.2215325503781855,2.019330735032838,1.882516557743486,3.944238956202412,2.2120528020313373
326650_12_consensus,1.809113035742541,2.8768785436224675,2.1946084793748355,1.945736112915256,1.7852639285164855,0.3119067873176391,0.282769657034521,0.0,1.6668532982010902,0.2797418050893157,0.3926307915811549,0.3519522478830481,0.94951995570824,0.4011526940826115,2.062366386405415,0.6600633745272262,0.6510845315120832,0.3210040456330603,1.035153136671056,0.6683848960940395,1.9396938518951856,0.3371511588872522,0.3142096121887903,5.876469503766714,4.335754463105161,4.1138344068382935,5.003936293054949,4.763142147308429,4.3671291819719045,3.1098792149581413,2.775512580829627,4.03691471666184,1.105783645802319,1.5103430902727268,1.0738405897656094,1.2102158516888153,1.7841332108138204,1.2776342966830043,1.0247585150886491,2.1780556686487103,1.2057967925794628,1.173030359951781,1.564546239402148,2.160365324567352,3.4847910214986086,1.4019565448181766,1.9243094028386736,2.0298117899147883,1.643101664007531,2.4741244873998767,1.6437100999141308,1.6615833758663712,1.7219202206134696,2.3835467483706907,3.4463211390107062,2.0439513845431634,1.83039592541968,1.8554998503085471,1.7112765654662212,1.0521596539863367,1.3110992746859438,1.3294780855038653,0.8758985076900672,0.9212330802364476,1.1662238606260755,1.1178948025321915,1.0896544205003806,0.7844366909585574,0.8607909881078513,1.1397670879727002,1.3863197507949394,0.8836313295628315,1.0619938496170107,1.0456648557200197,0.789927733378704,1.016002842949035,1.003989102936771,4.32120920222917,2.651112059458569,3.0639667369202925,3.244699748804919,3.521752640882596,2.189507423587088,3.03176735927616,3.2991881104538834,2.696910594973417,2.167896797012532,3.587170718792265,6.009959890599816,3.0301429407080605,2.9325178547621817,3.0945633523268725,4.627137649872338,3.3638331044484744,3.4107612140597325,3.023138452553667,3.598094974907667,3.242935852076528,4.1697729047617145,2.649972331008144,2.3378879887389985,1.291470623828559,1.7120895120816613,1.4834356350708615,4.308503775913664,4.041814376511411,3.4811151966587204,1.987496315389592,2.07944714112989,3.1074218104704414,2.669608445204574,1.98791388912332,4.76241775000716,2.4086471482502247,2.130118247988321,4.519223265196047,2.652209587286279
326650_13_consensus,3.121899775784584,2.25172783003444,3.2857214932479337,3.399527396901476,3.6601446867836094,2.209378892712777,1.4834587687684009,1.6668532982010902,0.0,1.238954469281282,2.2904482293450315,2.3822535938061264,0.4176451224861921,1.0631654569901912,0.275254751840464,0.5684618409551376,0.5187320121918901,1.0392078059368828,0.3481316073816174,0.553153494756998,0.2295130896281421,0.9819804857503414,2.073177835894512,2.9560626078882706,2.2301119044944926,2.097718322866285,2.541242195989355,2.419622956127057,2.3040689071391967,1.3971771245554123,1.433258721390871,2.179475773726381,3.767464493491957,4.351885740886701,2.6549736363144234,3.973559168023144,4.846598462048121,1.83855848802358,2.7255552586993304,6.091426121427617,2.000000079098811,2.4076987499172446,4.787014707169078,5.535455211251247,7.446360638263457,2.95788984444647,2.2607242404706085,3.2844649330510265,2.3550922597472663,5.838729667749476,2.5251701138015505,2.764552109281567,2.783765491109193,4.264489732981247,7.500253555876498,3.2086986419126333,3.793951208783028,2.39423325675466,3.1623643511990736,2.96614189383115,3.1937948006158194,3.6487206686678633,2.7327640272816325,1.9293771719569577,2.588466746341169,3.3682160038025586,0.863652032825712,1.3460284232390336,2.41851883232448,2.096189152156456,0.9293638037160008,1.7779196246270883,1.1972814090313475,2.8301216385403904,2.516081538913056,1.04891403823558,2.203459733984289,8.468780275732684,2.087478397300629,1.965374031575948,2.080801636549154,2.3296472354480784,4.0298779734412165,5.86757229482339,6.732033866982079,2.322168923504876,3.8204004274130057,7.094537339308658,10.977643113147792,1.330978101551409,1.2931776404739708,1.3003034423592226,1.8732765785559309,1.4093524226426553,1.3112957820701467,1.32970531847036,1.4121498916835549,1.3242006909321162,1.710608247792834,1.589805375361948,1.2884302705734854,1.7989251063632992,1.6471688002595215,1.6172182170477072,1.7439486844648968,1.6151749343687811,1.3955479106140274,2.77861293334388,2.5383835178332674,3.1617517424331254,4.614627414618212,3.534086772916339,2.174196722609622,2.2171273383013386,3.911352223228164,2.2099032310467805,4.132761098373123
326650_14_consensus,1.7530166817787176,2.6226654338557864,2.1338930469705133,2.016809685073156,1.824556335557702,0.3882111775609473,0.2431114213122214,0.2797418050893157,1.238954469281282,0.0,0.450792840403551,0.4482394723063976,0.7248242375112,0.3676353915892036,1.5674394742869708,0.441211775077079,0.4486499332194285,0.2501068671561484,0.760383212841532,0.5032682025542954,1.4836232737823138,0.2474013613276042,0.3594674799819586,5.216281968903047,3.812566789971697,3.638634549793835,4.403848402647896,4.220490481678837,3.8580546859787432,2.70346706232192,2.478402755673528,3.661215584341335,1.3256180191539215,1.7010832965249847,1.1054776689388175,1.43808149832023,1.9709818417895804,1.1739910308959338,1.0873800638445914,2.531394228983686,1.131502313319004,1.1448623362383614,1.821983733472848,2.397977816527032,3.709904482527236,1.3695320541161775,1.67656905937622,1.885702069000331,1.4718226468797295,2.6583717088010985,1.4661889039909397,1.5325916650470504,1.6280376802912429,2.4621612120802183,3.802784985172991,1.997285270355519,1.91189743663125,1.64031112922396,1.632448872832697,0.9697076771651608,1.1837766498020414,1.2904743676604085,0.8120494033866521,0.7048487185172689,0.9703985945417912,1.0949321668495031,0.729795254360738,0.5467990120193917,0.7530218927092847,0.8946687884067615,0.953872347138315,0.6600558722165601,0.7246036519028394,0.9400671192424284,0.7212760499305659,0.6805366412981471,0.8011752605794982,4.604769607252706,2.409483745775788,2.774272186092503,2.9235422374697464,3.239638696352813,2.2182162682680087,3.151948211629872,3.529486942637732,2.517701860004252,2.168670355428617,3.8093912536489256,6.382542035786798,2.653494847041543,2.506314734679222,2.676450272468344,3.946729974349751,2.8319428982105705,2.9075140251943594,2.647611129359518,3.111861784690234,2.815821836077646,3.5310872719803115,2.2044156453334267,1.9537667861108616,1.1754904503026182,1.467075941313908,1.2924236417771908,3.6597173845002544,3.446595142979163,2.976826057466837,1.780083956664157,1.833052442214921,2.667947756325645,2.565039024134478,1.9238629192145709,4.017924381372836,2.0434542878094817,2.0884159855222606,3.791001586269772,2.4625909523053338
