Experiment,Repetition,BatchSize,W2_Gaussian,Sinkhorn,Sliced,W2_Time,Sinkhorn_Time,Sliced_Time
Exp2_Intra_Inter_Patient,1,10000,0.08178620997756969,0.5845133662223816,0.005411239134724403,1.8216989040374756,897.5781333446503,10.210233211517334
Exp2_Intra_Inter_Patient,1,30000,0.08247806655722467,0.5254063606262207,0.006077052562244125,2.623779773712158,986.1785976886749,10.997375965118408
Exp2_Intra_Inter_Patient,1,50000,0.08274036474184143,0.5009071826934814,0.004922764496751896,3.8061656951904297,1137.5355789661407,11.87645411491394
Exp2_Intra_Inter_Patient,1,100000,0.07734469086891327,0.47005975246429443,0.004625180025838083,5.514636039733887,1510.8803713321686,13.641741037368774
Exp2_Intra_Inter_Patient,1,150000,0.07875371875641157,0.4558938145637512,0.004536887189785041,7.545590400695801,1832.6533977985382,15.041133403778076
Exp2_Intra_Inter_Patient,1,200000,0.07785553637687137,0.44699451327323914,0.004726592465559161,9.444679975509644,2299.8278999328613,17.635975122451782
Exp2_Intra_Inter_Patient,1,300000,0.07759357007441814,0.4368564486503601,0.004754864283027209,13.541358232498169,3259.5397729873657,25.151220560073853
Exp2_Intra_Inter_Patient,1,399900,0.07768264329430696,0.4313625395298004,0.0046073862727668375,17.82939624786377,4529.788282394409,24.39356517791748
Exp2_Intra_Inter_Patient,2,10000,0.08806462650615199,0.5865740180015564,0.005203096503499838,1.943326473236084,897.8195440769196,10.473873138427734
Exp2_Intra_Inter_Patient,2,30000,0.07927750512527876,0.5239300727844238,0.005444138275401885,2.685577869415283,986.1536900997162,11.116527795791626
Exp2_Intra_Inter_Patient,2,50000,0.07802671170491848,0.4990261495113373,0.005004531593669333,3.437727689743042,1137.1730513572693,11.714324474334717
Exp2_Intra_Inter_Patient,2,100000,0.07839290177079583,0.47009673714637756,0.004498957668654908,5.230558633804321,1510.759015083313,13.558290719985962
Exp2_Intra_Inter_Patient,2,150000,0.07735671055867055,0.45505475997924805,0.005318587496408167,7.351481676101685,1832.7227494716644,15.105690479278564
Exp2_Intra_Inter_Patient,2,200000,0.07850920996167332,0.4471271336078644,0.005109959208795744,9.604421138763428,2299.351989030838,17.26618194580078
Exp2_Intra_Inter_Patient,2,300000,0.07828777963261313,0.43697136640548706,0.004906262396755871,13.600550174713135,3257.5912635326385,23.955814599990845
Exp2_Intra_Inter_Patient,2,399900,0.07767893921176938,0.4313579499721527,0.004487076723829293,17.12023138999939,4528.725704193115,24.64456343650818
Exp2_Intra_Inter_Patient,3,10000,0.08970739402838923,0.5892826318740845,0.005167495045375528,1.976658821105957,897.5347487926483,10.518318176269531
Exp2_Intra_Inter_Patient,3,30000,0.07875982358987166,0.5239479541778564,0.004875492176582592,2.797215461730957,986.0814166069031,10.99132513999939
Exp2_Intra_Inter_Patient,3,50000,0.07986488756236199,0.5010151863098145,0.004468726021484588,3.356088876724243,1137.265391588211,11.689328908920288
Exp2_Intra_Inter_Patient,3,100000,0.07859248913090955,0.47028905153274536,0.005080269225322582,5.3523736000061035,1511.0042037963867,13.453813314437866
