Experiment,Repetition,BatchSize,W2_Gaussian,Sinkhorn,Sliced,W2_Time,Sinkhorn_Time,Sliced_Time
Exp1_Split_Half,1,10000,0.04396264374272363,0.6111952066421509,0.15566943695665394,1.9624691009521484,828.8527173995972,11.688214302062988
Exp2_Intra_Inter_Patient,1,10000,0.08504029668054525,0.5786836743354797,0.005136528525485302,1.7804062366485596,828.8973660469055,10.300428867340088
Exp3_Tech_Replicates,1,10000,0.011361867851492846,0.4319576919078827,0.002581836945658246,1.9389421939849854,828.7457835674286,10.316844940185547
Exp1_Split_Half,1,30000,0.048101722871456865,0.55716472864151,0.11370179538594219,2.9347496032714844,909.9796657562256,12.715526103973389
Exp2_Intra_Inter_Patient,1,30000,0.0783998399577408,0.5188287496566772,0.005354291317607276,3.1701645851135254,910.4126465320587,11.160436868667603
Exp3_Tech_Replicates,1,30000,0.005123719872612398,0.355765700340271,0.0031077133045468238,2.803253412246704,910.3439161777496,10.945975303649902
Exp1_Split_Half,1,50000,0.059576785347230654,0.49799174070358276,0.08106791714323461,3.5418448448181152,1049.3755617141724,13.387892246246338
Exp2_Intra_Inter_Patient,1,50000,0.0800296050031557,0.4958641231060028,0.004800408081829742,3.477081060409546,1050.07155418396,11.653720140457153
Exp3_Tech_Replicates,1,50000,0.004807528530483829,0.3276163339614868,0.0018272629162101616,3.731682300567627,1049.823920249939,11.715658903121948
Exp1_Split_Half,1,100000,0.15165727021841313,0.5037083029747009,0.05406023585657899,6.442116737365723,1394.5232737064362,16.17813992500305
Exp2_Intra_Inter_Patient,1,100000,0.07906845563627929,0.46743953227996826,0.00492856659160692,5.618445158004761,1395.0199422836304,13.611032962799072
Exp3_Tech_Replicates,1,100000,0.003757610118817034,0.29654669761657715,0.0012255932586084607,5.606874227523804,1394.9608526229858,13.575768947601318
Exp1_Split_Half,1,150000,0.14162498764230058,0.5120009779930115,0.03209709565474767,8.300607681274414,1691.4226324558258,17.744088888168335
Exp1_Split_Half,1,10000,0.1672738948497452,0.6174938678741455,0.15906302490824384,6.5258073806762695,829.9402799606323,28.31512188911438
Exp2_Intra_Inter_Patient,1,10000,0.08035448571682835,0.5767418146133423,0.004537925949736521,10.246932983398438,829.7426717281342,19.736011266708374
Exp3_Tech_Replicates,1,10000,0.011336493088819566,0.43096739053726196,0.0023301068027336675,4.250150203704834,829.7289388179779,14.344587326049805
Exp1_Split_Half,1,30000,0.09392958789601025,0.5576480031013489,0.11246119825007866,8.660948514938354,911.2295861244202,23.327147245407104
Exp2_Intra_Inter_Patient,1,30000,0.0824972515314979,0.5209016799926758,0.005665995402711024,11.89458966255188,911.5527949333191,11.166115045547485
Exp3_Tech_Replicates,1,30000,0.005978019807115764,0.356121301651001,0.003023007488579341,2.8591983318328857,911.6683497428894,13.204816818237305
Exp1_Split_Half,1,50000,0.06895778707866107,0.5288387537002563,0.08135579986318275,3.885105848312378,1050.8114235401154,13.862386226654053
Exp2_Intra_Inter_Patient,1,50000,0.08224691171699483,0.49700385332107544,0.004855889680276737,10.554112911224365,1050.8392584323883,16.52499771118164
Exp3_Tech_Replicates,1,50000,0.004648579033436739,0.3272396922111511,0.001709262222145934,14.53297472000122,1051.1362826824188,11.58189845085144
Exp1_Split_Half,1,100000,0.046626598314897016,0.4730660915374756,0.05509030538080188,6.061691761016846,1396.366956949234,15.288491487503052
Exp2_Intra_Inter_Patient,1,100000,0.07670376773576137,0.46615713834762573,0.004435044434535093,5.403589487075806,1396.380598783493,13.403238773345947
Exp3_Tech_Replicates,1,100000,0.003748007605712367,0.2971937656402588,0.0013726965897826373,5.7641379833221436,1396.347526550293,13.628743410110474
Exp1_Split_Half,1,150000,0.014706127864903884,0.45584630966186523,0.03235856227234814,8.41374921798706,1694.063777923584,17.580963850021362
Exp2_Intra_Inter_Patient,1,150000,0.07744883151468329,0.45317983627319336,0.004575434099397785,7.5742268562316895,1694.7883310317993,15.104146480560303
Exp3_Tech_Replicates,1,150000,0.0032749727757916958,0.28252458572387695,0.0013154738358496826,7.501099348068237,1695.0338549613953,14.942712306976318
Exp1_Split_Half,1,200000,0.016230477950004207,0.4463806450366974,0.032049170302835266,10.479219198226929,2124.5134732723236,19.8520929813385
Exp2_Intra_Inter_Patient,1,200000,0.0772963085652929,0.4448040723800659,0.004764197221443708,9.732969522476196,2125.9108572006226,17.197904586791992
Exp3_Tech_Replicates,1,200000,0.003193728874085089,0.2743864059448242,0.0011420138051274654,9.335726976394653,2125.6275219917297,17.066346645355225
Exp1_Split_Half,1,300000,0.07709467786832569,0.45815011858940125,0.0006036721654630377,15.049290180206299,3011.2930996418,38.0055193901062
Exp2_Intra_Inter_Patient,1,300000,0.07732965768410693,0.43517953157424927,0.004843473236973991,27.82093358039856,3012.371728181839,26.181836128234863
Exp3_Tech_Replicates,1,300000,0.0030472866029480628,0.26482725143432617,0.0010352657968754654,27.287490844726562,3011.9960515499115,23.959386587142944
Exp1_Split_Half,1,399900,0.10698492401478354,0.45913416147232056,0.0005177532736909715,29.173737049102783,4185.31511926651,28.308799505233765
Exp2_Intra_Inter_Patient,1,399900,0.0776789056723235,0.42974042892456055,0.004907866807867849,17.678637981414795,4184.6170353889465,24.32263731956482
Exp3_Tech_Replicates,1,399900,0.002896212143550514,0.25944530963897705,0.001241874920538106,17.56691002845764,4185.310982227325,23.901834726333618
Exp1_Split_Half,2,10000,0.059217462402921583,0.5831921100616455,0.1495267441688128,1.7252097129821777,829.7127532958984,12.22946810722351
Exp2_Intra_Inter_Patient,2,10000,0.08311614287979197,0.579509437084198,0.005096317708354437,2.177116632461548,829.5766999721527,10.599248886108398
Exp3_Tech_Replicates,2,10000,0.012129194208579719,0.4293367266654968,0.002193061583641459,2.19010329246521,829.5937669277191,10.274644613265991
Exp1_Split_Half,2,30000,0.18411014667171166,0.5642972588539124,0.11212633395235796,2.625230550765991,911.1490836143494,12.809894800186157
Exp2_Intra_Inter_Patient,2,30000,0.08151731303879739,0.520470380783081,0.005172391139075603,2.749678611755371,911.3485517501831,11.107638120651245
Exp3_Tech_Replicates,2,30000,0.005929419945839065,0.35479819774627686,0.002971229450057585,2.9362831115722656,911.4730408191681,11.132417917251587
Exp1_Split_Half,2,50000,0.051049585479496784,0.5010026097297668,0.08367870969588577,3.7257611751556396,1050.8624424934387,13.422309160232544
Exp2_Intra_Inter_Patient,2,50000,0.07912315418144988,0.49655959010124207,0.004605140541770527,3.488746404647827,1050.9233567714691,11.760556697845459
Exp3_Tech_Replicates,2,50000,0.004492183099690017,0.3271039128303528,0.0016423155356399704,3.264511823654175,1050.9935631752014,11.573991775512695
Exp1_Split_Half,2,100000,0.019896182026704956,0.4851340651512146,0.056426538437658436,5.901545763015747,1396.248522758484,15.497554779052734
Exp2_Intra_Inter_Patient,2,100000,0.07940188626876754,0.4676322937011719,0.004399811584080094,5.80134916305542,1396.369509935379,14.354766130447388
Exp3_Tech_Replicates,2,100000,0.0037461170981654135,0.2965314984321594,0.0013345273213325984,5.577488660812378,1396.7226107120514,13.728238105773926
Exp1_Split_Half,2,150000,0.013981268455141027,0.458301305770874,0.03259515332011128,8.063158988952637,1694.0825295448303,17.73383116722107
Exp2_Intra_Inter_Patient,2,150000,0.078380089196731,0.453858345746994,0.005082882214385629,7.467456817626953,1694.7258775234222,15.176051139831543
Exp3_Tech_Replicates,2,150000,0.0033114547399604177,0.28265178203582764,0.001405865272347819,7.248048782348633,1694.801112651825,15.013011693954468
Exp1_Split_Half,2,200000,0.016409283349764436,0.4462776780128479,0.03224218448158324,10.438892126083374,2124.9282898902893,19.9531090259552
Exp2_Intra_Inter_Patient,2,200000,0.07660797198561387,0.4446972608566284,0.004387024479076771,9.568880558013916,2125.866578102112,17.399274826049805
Exp3_Tech_Replicates,2,200000,0.003234821219022521,0.2738812565803528,0.0012117835379258485,9.600433826446533,2124.634262561798,17.11908221244812
Exp1_Split_Half,2,300000,0.07540775881786299,0.45656004548072815,0.0005441021841815685,14.844503402709961,3011.045040845871,26.2148277759552
Exp2_Intra_Inter_Patient,2,300000,0.07735718103999911,0.43519121408462524,0.004824988213787191,14.163098335266113,3012.1920392513275,24.189873456954956
