Affinity,Threshold,method,count,lower_whisker,Q1,median,Q3,upper_whisker,Threshold_original,layer,sample_size,type,model,chain,Mean_Num_Points,layer_norm2,Loneliness,Vicinty_corr,IQR
hb,8,LD1,2618,0.128787878787879,0.49895727333258,0.627965914861955,0.75,1,0.00636731746962211,5,10000,Att_mat,esm2,t33_650M_UR50D_cdr3_attention_matrices_average_layers_sample_10000,1237.49655,12.5,,,0.25104272666742
hb,9,LD1,2618,0.152416356877323,0.494872436218109,0.611584009688275,0.727246782897468,1,0.00678388362473184,5,10000,Att_mat,esm2,t33_650M_UR50D_cdr3_attention_matrices_average_layers_sample_10000,1455.05045,12.5,,,0.232374346679359
hb,10,LD1,2618,0.152542372881356,0.487868934467234,0.600550275137569,0.712216942313308,1,0.00720044977984158,5,10000,Att_mat,esm2,t33_650M_UR50D_cdr3_attention_matrices_average_layers_sample_10000,1615.4559,12.5,,,0.224348007846074
hb,11,LD1,2618,0.166666666666667,0.48624312156078,0.596298149074537,0.700844146282219,1,0.00761701593495131,5,10000,Att_mat,esm2,t33_650M_UR50D_cdr3_attention_matrices_average_layers_sample_10000,1729.9612,12.5,,,0.214601024721439
hb,12,LD1,2618,0.174505794137696,0.484367183591796,0.594547273636819,0.693547687986546,1,0.00803358209006105,5,10000,Att_mat,esm2,t33_650M_UR50D_cdr3_attention_matrices_average_layers_sample_10000,1809.1303,12.5,,,0.20918050439475
hb,13,LD1,2618,0.176588294147074,0.482879370719843,0.593296648324162,0.688828094357694,0.994845360824742,0.00845014824517078,5,10000,Att_mat,esm2,t33_650M_UR50D_cdr3_attention_matrices_average_layers_sample_10000,1862.20625,12.5,,,0.205948723637851
hb,14,LD1,2618,0.182716049382716,0.482741370685343,0.591295647823912,0.686793525187251,0.980263157894737,0.00886671440028052,5,10000,Att_mat,esm2,t33_650M_UR50D_cdr3_attention_matrices_average_layers_sample_10000,1899,12.5,,,0.204052154501909
hb,0,LD1,2450,0.441860465116279,0.773737066342057,1,1,1,0.138174260153812,10,10000,Pooled,antiberta2-cssp,cdr3_embeddings_sample_10000,19,60,,,0.226262933657943
hb,1,LD1,2450,0.380952380952381,0.75,0.935483870967742,1,1,0.148320871741136,10,10000,Pooled,antiberta2-cssp,cdr3_embeddings_sample_10000,30.9823,60,,,0.25
hb,2,LD1,2450,0.352941176470588,0.73484393757503,0.892857142857143,0.989872344841901,1,0.158467483328461,10,10000,Pooled,antiberta2-cssp,cdr3_embeddings_sample_10000,49.7311,60,,,0.255028407266871
hb,3,LD1,2450,0.333333333333333,0.706540651692502,0.857142857142857,0.957575757575757,1,0.168614094915786,10,10000,Pooled,antiberta2-cssp,cdr3_embeddings_sample_10000,79.1698,60,,,0.251035105883255
hb,4,LD1,2450,0.290322580645161,0.673469387755102,0.821328810853951,0.931034482758621,1,0.178760706503111,10,10000,Pooled,antiberta2-cssp,cdr3_embeddings_sample_10000,124.1499,60,,,0.257565095003519
hb,5,LD1,2450,0.268041237113402,0.647058823529412,0.79117401585756,0.9,1,0.188907318090435,10,10000,Pooled,antiberta2-cssp,cdr3_embeddings_sample_10000,192.2215,60,,,0.252941176470588
hb,6,LD1,2450,0.26271186440678,0.626392126392126,0.767020290452158,0.869565217391304,1,0.19905392967776,10,10000,Pooled,antiberta2-cssp,cdr3_embeddings_sample_10000,293.3031,60,,,0.243173090999178
hb,7,LD1,2450,0.255,0.605966910325023,0.739879564879565,0.842225277986625,1,0.209200541265085,10,10000,Pooled,antiberta2-cssp,cdr3_embeddings_sample_10000,439.45485,60,,,0.236258367661602
hb,8,LD1,2450,0.256756756756757,0.588409672169263,0.715797486492134,0.811623009303661,1,0.21934715285241,10,10000,Pooled,antiberta2-cssp,cdr3_embeddings_sample_10000,643.0742,60,,,0.223213337134398
hb,9,LD1,2450,0.258114374034003,0.575592571975974,0.693833850456671,0.787522581559279,1,0.229493764439734,10,10000,Pooled,antiberta2-cssp,cdr3_embeddings_sample_10000,902.4072,60,,,0.211930009583305
hb,10,LD1,2450,0.260674157303371,0.564801900129047,0.677538434262847,0.768702827960488,0.997282608695652,0.239640376027059,10,10000,Pooled,antiberta2-cssp,cdr3_embeddings_sample_10000,1189.29695,60,,,0.203900927831442
hb,11,LD1,2450,0.27317880794702,0.558501827513804,0.666666666666667,0.752945667767446,0.992015968063872,0.249786987614384,10,10000,Pooled,antiberta2-cssp,cdr3_embeddings_sample_10000,1457.17535,60,,,0.194443840253643
hb,12,LD1,2450,0.262650602409639,0.552402485378563,0.658981417084092,0.746774795848629,0.985981308411215,0.259933599201709,10,10000,Pooled,antiberta2-cssp,cdr3_embeddings_sample_10000,1668.97375,60,,,0.194372310470065
hb,13,LD1,2450,0.26508226691042,0.550775387693847,0.654327163581791,0.742871435717859,0.974910394265233,0.270080210789033,10,10000,Pooled,antiberta2-cssp,cdr3_embeddings_sample_10000,1812.7824,60,,,0.192096048024012
hb,14,LD1,2450,0.269072164948454,0.549274637318659,0.651575787893947,0.738744372186093,0.959239130434783,0.280226822376358,10,10000,Pooled,antiberta2-cssp,cdr3_embeddings_sample_10000,1899,60,,,0.189469734867434
hb,0,LD1,2684,0,0.571428571428571,0.933333333333333,1,1,0.0135721279862298,7,10000,Pooled,esm2,t33_650M_UR50D_cdr3_embeddings_sample_10000,19,18.75,,,0.428571428571429
hb,1,LD1,2684,0.0689655172413793,0.619047619047619,0.885714285714286,1,1,0.0150847215770748,7,10000,Pooled,esm2,t33_650M_UR50D_cdr3_embeddings_sample_10000,36.5868,18.75,,,0.380952380952381
hb,2,LD1,2684,0.0909090909090909,0.619674185463659,0.833333333333333,0.972972972972973,1,0.0165973151679199,7,10000,Pooled,esm2,t33_650M_UR50D_cdr3_embeddings_sample_10000,68.1225,18.75,,,0.353298787509314
hb,3,LD1,2684,0.121951219512195,0.6,0.794871794871795,0.923223722842043,1,0.0181099087587649,7,10000,Pooled,esm2,t33_650M_UR50D_cdr3_embeddings_sample_10000,122.2561,18.75,,,0.323223722842044
hb,4,LD1,2684,0.117647058823529,0.57516592920354,0.760198846303178,0.881411685994648,1,0.01962250234961,7,10000,Pooled,esm2,t33_650M_UR50D_cdr3_embeddings_sample_10000,211.2511,18.75,,,0.306245756791108
hb,5,LD1,2684,0.122641509433962,0.553317635186275,0.727272727272727,0.844031175059952,1,0.021135095940455,7,10000,Pooled,esm2,t33_650M_UR50D_cdr3_embeddings_sample_10000,349.72005,18.75,,,0.290713539873677
hb,6,LD1,2684,0.131630648330059,0.542801771871539,0.697705385067971,0.8170856474715,1,0.0226476895313,7,10000,Pooled,esm2,t33_650M_UR50D_cdr3_embeddings_sample_10000,550.82935,18.75,,,0.27428387559996
hb,7,LD1,2684,0.151452282157676,0.533984061460842,0.678827641051398,0.789178311492321,1,0.0241602831221451,7,10000,Pooled,esm2,t33_650M_UR50D_cdr3_embeddings_sample_10000,806.47195,18.75,,,0.255194250031479
hb,8,LD1,2684,0.175693527080581,0.528174843235571,0.65624844979314,0.763693992220141,1,0.0256728767129901,7,10000,Pooled,esm2,t33_650M_UR50D_cdr3_embeddings_sample_10000,1079.9235,18.75,,,0.23551914898457
hb,9,LD1,2684,0.191489361702128,0.521705582393988,0.645768598585007,0.744149510370885,1,0.0271854703038352,7,10000,Pooled,esm2,t33_650M_UR50D_cdr3_embeddings_sample_10000,1329.18265,18.75,,,0.222443927976896
hb,10,LD1,2684,0.192096048024012,0.516258129064532,0.637414567125517,0.732866433216608,1,0.0286980638946802,7,10000,Pooled,esm2,t33_650M_UR50D_cdr3_embeddings_sample_10000,1531.75265,18.75,,,0.216608304152076
hb,11,LD1,2684,0.203184230477635,0.514182231190086,0.63118700794512,0.722379250461733,1,0.0302106574855253,7,10000,Pooled,esm2,t33_650M_UR50D_cdr3_embeddings_sample_10000,1680.32085,18.75,,,0.208197019271647
hb,12,LD1,2684,0.214107053526763,0.514257128564282,0.629064532266133,0.715857928964482,1,0.0317232510763703,7,10000,Pooled,esm2,t33_650M_UR50D_cdr3_embeddings_sample_10000,1783.46005,18.75,,,0.2016008004002
hb,13,LD1,2684,0.219109554777389,0.514278567855356,0.626854979213745,0.712802548384525,1,0.0332358446672154,7,10000,Pooled,esm2,t33_650M_UR50D_cdr3_embeddings_sample_10000,1852.5227,18.75,,,0.198523980529169
hb,14,LD1,2684,0.219109554777389,0.513631815907954,0.626107171614847,0.71048024012006,1,0.0347484382580604,7,10000,Pooled,esm2,t33_650M_UR50D_cdr3_embeddings_sample_10000,1899,18.75,,,0.196848424212106
hb,0,LD1,2523,0.722222222222222,0.888888888888889,1,1,1,0.239284305462528,7,10000,Unpooled,antiberta2-cssp,cdr3_embeddings_unpooled_sample_10000,19,40,,,0.111111111111111
hb,1,LD1,2523,0.642857142857143,0.857142857142857,1,1,1,0.258556021682482,7,10000,Unpooled,antiberta2-cssp,cdr3_embeddings_unpooled_sample_10000,31.35,40,,,0.142857142857143
hb,2,LD1,2523,0.566666666666667,0.826086956521739,0.96551724137931,1,1,0.277827737902435,7,10000,Unpooled,antiberta2-cssp,cdr3_embeddings_unpooled_sample_10000,49.3909,40,,,0.173913043478261
hb,3,LD1,2523,0.487179487179487,0.7946961714085,0.932038834951456,1,1,0.297099454122388,7,10000,Unpooled,antiberta2-cssp,cdr3_embeddings_unpooled_sample_10000,77.8328,40,,,0.2053038285915
hb,4,LD1,2523,0.41025641025641,0.753523922970022,0.897959183673469,0.983844868984236,1,0.316371170342342,7,10000,Unpooled,antiberta2-cssp,cdr3_embeddings_unpooled_sample_10000,121.9838,40,,,0.230320946014214
hb,5,LD1,2523,0.353846153846154,0.723482008995502,0.866666666666667,0.970559343580261,1,0.335642886562295,7,10000,Unpooled,antiberta2-cssp,cdr3_embeddings_unpooled_sample_10000,185.8105,40,,,0.247077334584759
hb,6,LD1,2523,0.297872340425532,0.688706739526412,0.837209302325582,0.951528500867708,1,0.354914602782248,7,10000,Unpooled,antiberta2-cssp,cdr3_embeddings_unpooled_sample_10000,277.8374,40,,,0.262821761341296
hb,7,LD1,2523,0.255813953488372,0.658813747228381,0.800687285223368,0.927522762782178,1,0.374186319002201,7,10000,Unpooled,antiberta2-cssp,cdr3_embeddings_unpooled_sample_10000,413.744,40,,,0.268709015553796
hb,8,LD1,2523,0.237037037037037,0.633625576298088,0.766612641815235,0.898554774145847,1,0.393458035222155,7,10000,Unpooled,antiberta2-cssp,cdr3_embeddings_unpooled_sample_10000,609.75045,40,,,0.264929197847759
hb,9,LD1,2523,0.215880893300248,0.605841776694654,0.735042735042735,0.867976262602725,1,0.412729751442108,7,10000,Unpooled,antiberta2-cssp,cdr3_embeddings_unpooled_sample_10000,872.95365,40,,,0.262134485908071
hb,10,LD1,2523,0.214574898785425,0.586306495019053,0.711286089238845,0.83455305541629,1,0.432001467662061,7,10000,Unpooled,antiberta2-cssp,cdr3_embeddings_unpooled_sample_10000,1185.64975,40,,,0.248246560397236
hb,11,LD1,2523,0.216710182767624,0.571011213023773,0.688344172086043,0.808654327163582,1,0.451273183882015,7,10000,Unpooled,antiberta2-cssp,cdr3_embeddings_unpooled_sample_10000,1482.21965,40,,,0.237643114139809
hb,12,LD1,2523,0.220735785953177,0.563531765882942,0.674837418709355,0.79639819909955,0.984992496248124,0.470544900101968,7,10000,Unpooled,antiberta2-cssp,cdr3_embeddings_unpooled_sample_10000,1697.77495,40,,,0.232866433216608
hb,13,LD1,2523,0.217108554277139,0.559529764882441,0.668334167083542,0.790395197598799,0.984992496248124,0.489816616321921,7,10000,Unpooled,antiberta2-cssp,cdr3_embeddings_unpooled_sample_10000,1824.99605,40,,,0.230865432716358
hb,14,LD1,2523,0.217108554277139,0.556778389194597,0.665832916458229,0.788894447223612,0.984992496248124,0.509088332541874,7,10000,Unpooled,antiberta2-cssp,cdr3_embeddings_unpooled_sample_10000,1899,40,,,0.232116058029014
hb,0,LD1,2488,0.586206896551724,0.833333333333333,1,1,1,0.0414025720603756,5,10000,Unpooled,esm2,t33_650M_UR50D_cdr3_embeddings_unpooled_sample_10000,19,12.5,,,0.166666666666667
hb,1,LD1,2488,0.536585365853659,0.813502824858757,0.988235294117647,1,1,0.045744413509704,5,10000,Unpooled,esm2,t33_650M_UR50D_cdr3_embeddings_unpooled_sample_10000,33.8814,12.5,,,0.186497175141243
hb,2,LD1,2488,0.451612903225806,0.779672131147541,0.945945945945946,1,1,0.0500862549590323,5,10000,Unpooled,esm2,t33_650M_UR50D_cdr3_embeddings_unpooled_sample_10000,59.0733,12.5,,,0.220327868852459
hb,3,LD1,2488,0.375,0.75,0.911111111111111,1,1,0.0544280964083607,5,10000,Unpooled,esm2,t33_650M_UR50D_cdr3_embeddings_unpooled_sample_10000,100.7299,12.5,,,0.25
hb,4,LD1,2488,0.322834645669291,0.713553077650423,0.875431034482759,0.977590511860175,1,0.0587699378576891,5,10000,Unpooled,esm2,t33_650M_UR50D_cdr3_embeddings_unpooled_sample_10000,168.1654,12.5,,,0.264037434209752
