Affinity,Threshold,method,count,lower_whisker,Q1,median,Q3,upper_whisker,Threshold_original,layer,type,model,chain,Mean_Num_Points,DMS,layer_norm2,M_c,Loneliness,Vicinty_corr,IQR
hb,0,LD1,10715,0.75,0.898275862068966,1,1,1,0.0130443422855037,16,Att_mat,antiberta2-cssp,heavy_chain,19,brian_hie,100,4.39089916436599,,,0.101724137931035
hb,1,LD1,10715,0.671875,0.868421052631579,1,1,1,0.0158685455768828,16,Att_mat,antiberta2-cssp,heavy_chain,36.0328979492188,brian_hie,100,4.39089916436599,,,0.131578947368421
hb,2,LD1,10715,0.605263157894737,0.842105263157895,0.987012987012987,1,1,0.0186927488682619,16,Att_mat,antiberta2-cssp,heavy_chain,63.0331726074219,brian_hie,100,4.39089916436599,,,0.157894736842105
hb,3,LD1,10715,0.55,0.82,0.981481481481481,1,1,0.0215169521596409,16,Att_mat,antiberta2-cssp,heavy_chain,104.861053466797,brian_hie,100,4.39089916436599,,,0.18
hb,4,LD1,10715,0.50197628458498,0.8,0.975177304964539,1,1,0.02434115545102,16,Att_mat,antiberta2-cssp,heavy_chain,166.349609375,brian_hie,100,4.39089916436599,,,0.2
hb,5,LD1,10715,0.434343434343434,0.773580063868613,0.969230769230769,1,1,0.0271653587423991,16,Att_mat,antiberta2-cssp,heavy_chain,253.533813476563,brian_hie,100,4.39089916436599,,,0.226419936131387
hb,6,LD1,10715,0.376,0.74782527184102,0.964028776978417,0.996908802507358,1,0.0299895620337782,16,Att_mat,antiberta2-cssp,heavy_chain,373.134155273438,brian_hie,100,4.39089916436599,,,0.249083530666338
hb,7,LD1,10715,0.320284697508897,0.723479547135461,0.959550561797753,0.99493733988961,1,0.0328137653251573,16,Att_mat,antiberta2-cssp,heavy_chain,532.651550292969,brian_hie,100,4.39089916436599,,,0.271457792754148
hb,8,LD1,10715,0.269961977186312,0.701251760287905,0.955026455026455,0.992307692307692,1,0.0356379686165363,16,Att_mat,antiberta2-cssp,heavy_chain,740.005142211914,brian_hie,100,4.39089916436599,,,0.291055932019787
hb,9,LD1,10715,0.242307692307692,0.68065672631568,0.951132300357569,0.988919658142977,1,0.0384621719079154,16,Att_mat,antiberta2-cssp,heavy_chain,998.737869262695,brian_hie,100,4.39089916436599,,,0.308262931827297
hb,10,LD1,10715,0.19620253164557,0.66248265657268,0.946974063400576,0.985508737480924,1,0.0412863751992945,16,Att_mat,antiberta2-cssp,heavy_chain,1274.0647277832,brian_hie,100,4.39089916436599,,,0.323026080908244
hb,11,LD1,10715,0.201680672268908,0.646823411705853,0.943293347873501,0.98286621345624,1,0.0441105784906736,16,Att_mat,antiberta2-cssp,heavy_chain,1509.25378417969,brian_hie,100,4.39089916436599,,,0.336042801750387
hb,12,LD1,10715,0.206549118387909,0.637349019862903,0.939969984992496,0.980715269578906,1,0.0469347817820527,16,Att_mat,antiberta2-cssp,heavy_chain,1688.52014160156,brian_hie,100,4.39089916436599,,,0.343366249716004
hb,13,LD1,10715,0.214785214785215,0.631590235036052,0.937968984492246,0.978989494747374,1,0.0497589850734317,16,Att_mat,antiberta2-cssp,heavy_chain,1816.34115600586,brian_hie,100,4.39089916436599,,,0.347399259711322
hb,14,LD1,10715,0.231918238993711,0.625812906453227,0.936968484242121,0.977988994497249,1,0.0525831883648108,16,Att_mat,antiberta2-cssp,heavy_chain,1899,brian_hie,100,4.39089916436599,,,0.352176088044022
hb,0,LD1,11089,1,1,1,1,1,0.000171269947831852,3,Att_mat,esm2,heavy_chain,19,brian_hie,6.25,4727.42430951066,,,0
hb,1,LD1,11089,1,1,1,1,1,0.000218115339486789,3,Att_mat,esm2,heavy_chain,36.3730163574219,brian_hie,6.25,4727.42430951066,,,0
hb,2,LD1,11089,1,1,1,1,1,0.000264960731141726,3,Att_mat,esm2,heavy_chain,60.7359924316406,brian_hie,6.25,4727.42430951066,,,0
hb,3,LD1,11089,1,1,1,1,1,0.000311806122796663,3,Att_mat,esm2,heavy_chain,97.7864990234375,brian_hie,6.25,4727.42430951066,,,0
hb,4,LD1,11089,1,1,1,1,1,0.0003586515144516,3,Att_mat,esm2,heavy_chain,147.903503417969,brian_hie,6.25,4727.42430951066,,,0
hb,5,LD1,11089,1,1,1,1,1,0.000405496906106537,3,Att_mat,esm2,heavy_chain,214.279663085938,brian_hie,6.25,4727.42430951066,,,0
